;name;overall;УИК №1252;УИК №1254;УИК №1255;УИК №1256;УИК №1257;УИК №1258;УИК №1259;УИК №1260;УИК №1261
14;Глухова Татьяна Евгеньевна;270.0;38;34;35;40;30;36;41;7;9
15;Залеева Лиана Махмутовна;177.0;21;28;29;22;27;19;26;1;4
16;Зинакова Светлана Григорьевна;1126.0;131;104;204;150;165;148;190;18;16
17;Иванов Артур Владимирович;238.0;40;35;35;30;29;35;28;1;5
18;Иванов Кирилл Викторович;120.0;10;16;17;32;15;15;12;1;2
19;Кесова Нина Сергеевна;182.0;21;30;28;27;24;27;20;2;3
20;Кирьянов Павел Павлович;149.0;16;11;25;24;20;26;24;1;2
21;Кондриков Андрей Владимирович;156.0;19;16;31;14;24;22;20;2;8
22;Кравченко Максим Владимирович;193.0;22;17;28;28;25;27;37;6;3
23;Кульчицкая Татьяна Валерьевна;102.0;12;8;18;16;11;19;12;1;5
24;Мещангин Владислав Иванович;860.0;94;76;160;112;134;120;145;11;8
25;Пивкин Александр Афанасьевич;201.0;17;22;31;36;34;28;27;2;4
26;Пинясов Николай Сергеевич;736.0;55;102;85;166;99;90;121;11;7
27;Прохоров Николай Алексеевич;1072.0;146;90;188;132;161;154;179;11;11
28;Стефанцев Тимофей Викторович;191.0;29;24;33;25;28;24;22;3;3
29;Сутулов Анатолий Сергеевич;381.0;66;42;37;74;47;48;55;9;3
30;Тимофеевская Мария Сергеевна;171.0;23;18;27;29;23;22;26;1;2
31;Хомякова Наталия Вячеславовна;170.0;23;21;27;34;18;19;21;5;2
32;Ченцов Владимир Борисович;1104.0;137;96;204;142;163;156;178;18;10
33;Чулков Дмитрий Борисович;644.0;57;92;66;114;97;109;86;18;5
34;Шпиньков Владимир Вячеславович;611.0;53;74;73;108;89;95;99;13;7
35;Юсимов Борис Владимирович;424.0;35;62;57;73;64;59;66;5;3
