;name;overall;УИК №307;УИК №308;УИК №309;УИК №310;УИК №311;УИК №312;УИК №313;УИК №314;УИК №315;УИК №316;УИК №317
14;Бочкова Светлана Николаевна;478.0;38;42;34;57;47;41;43;51;42;52;31
15;Вострикова Ольга Васильевна;243.0;30;25;16;34;20;21;11;27;11;34;14
16;Голубева Лариса Анатольевна;1322.0;132;118;110;153;113;142;107;104;112;124;107
17;Гуркин Владимир Павлович;357.0;35;43;29;30;37;31;26;26;30;31;39
18;Жигарев Владимир Леонидович;1300.0;143;121;109;157;123;132;90;90;110;119;106
19;Каширина Ольга Александровна;496.0;29;41;38;41;53;53;41;56;49;59;36
20;Кирюшкин Алексей Анатольевич;374.0;26;45;35;50;34;36;21;28;35;47;17
21;Козлов Денис Сергеевич;460.0;43;45;45;37;37;32;42;35;42;60;42
22;Колосков Николай Яковлевич;572.0;57;47;37;42;35;32;34;35;70;75;108
23;Копелев Петр Вадимович;211.0;23;19;14;18;15;17;15;18;22;28;22
24;Леонов Борис Павлович;1082.0;113;99;94;136;119;101;78;73;80;100;89
25;Лысак Валерий Николаевич;298.0;26;27;26;28;31;24;23;21;26;34;32
26;Мацаян Михаил Степанович;364.0;32;39;27;31;25;35;29;38;31;54;23
27;Рощин Виталий Владимирович;260.0;30;25;24;31;27;20;20;18;12;39;14
28;Терентьев Максим Владимирович;248.0;21;30;25;31;20;20;18;18;19;30;16
29;Уханова Галина Юрьевна;1443.0;142;136;119;164;141;143;110;111;124;139;114
30;Шалимов Геннадий Васильевич;1122.0;122;99;98;138;109;109;77;86;86;108;90
