;name;overall;УИК №3403;УИК №3404;УИК №3405;УИК №3406
14;Афанасьева Людмила Владимировна;158.0;27;35;55;41
15;Безниско Олег Дмитриевич;280.0;56;75;78;71
16;Бланк Владимир Давыдович;1336.0;193;358;442;343
17;Богатырев Алексей Вячеславович;246.0;41;61;75;69
18;Захаров Денис Игоревич;143.0;21;29;62;31
19;Каравичев Олег Васильевич;1252.0;171;326;420;335
20;Карасев Евгений Александрович;350.0;47;115;103;85
21;Китаев Валерий Вячеславович;65.0;13;19;20;13
22;Кочегурова Людмила Павловна;1113.0;159;337;342;275
23;Лобанов Александр Владимирович;73.0;9;23;26;15
24;Мальцев Виктор Александрович;114.0;16;34;37;27
25;Моисеева Ирина Николаевна;1242.0;183;337;405;317
26;Печенина Татьяна Васильевна;239.0;30;70;68;71
27;Пономарева Лариса Ивановна;1145.0;182;303;359;301
28;Пучков Сергей Викторович;128.0;19;44;33;32
29;Рунова Яна Андреевна;216.0;32;54;71;59
30;Саблин Семён Сергеевич;386.0;77;90;118;101
31;Сафронова Эмма Сергеевна;176.0;32;48;55;41
32;Сиднев Виктор Владимирович;640.0;79;182;207;172
33;Сильниченко Игорь Владимирович;234.0;32;56;72;74
34;Тулупов Виталий Леонидович;204.0;33;46;61;64
35;Шавикова Марина Юрьевна;259.0;41;68;86;64
