;name;overall;УИК №1781;УИК №1782;УИК №1783;УИК №1784;УИК №1785;УИК №1786;УИК №1787
14;Введенская Наталья Юрьевна;879.0;129;92;147;129;112;191;79
15;Веремеенко Виктор Васильевич;152.0;22;31;21;23;6;31;18
16;Галин Илья Михайлович;112.0;16;19;25;11;14;16;11
17;Григорьев Николай Викторович;165.0;17;36;27;25;12;32;16
18;Гуренкова Лилия Владимировна;91.0;13;23;8;14;2;16;15
19;Зайковская Галина Викторовна;733.0;115;83;137;113;83;147;55
20;Кабанова Татьяна Викторовна;822.0;116;101;158;120;97;167;63
21;Клычев Тимур Юсупович;60.0;11;14;13;5;6;7;4
22;Ковалев Алексей Михайлович;97.0;18;25;16;9;7;13;9
23;Костенок Валерий Игоревич;253.0;35;31;36;42;27;38;44
24;Костюк Галина Владимировна;132.0;9;28;21;21;15;27;11
25;Макаров Евгений Николаевич;141.0;11;33;22;28;7;23;17
26;Мерзлякова Александра Александровна;125.0;14;20;20;20;7;27;17
27;Митрофанова Елена Сергеевна;136.0;16;31;26;30;9;11;13
28;Нешина Ольга Владимировна;115.0;12;26;16;15;4;24;18
29;Николаев Дмитрий Сергеевич;54.0;12;15;5;7;8;5;2
30;Николаев Николай Сергеевич;159.0;22;32;29;24;7;26;19
31;Распопин Эдуард Романович;216.0;37;40;46;34;8;24;27
32;Резков Владислав Валерьевич;741.0;115;103;132;115;80;142;54
33;Спирина Галина Николаевна;80.0;16;16;5;16;4;12;11
34;Столяров Кирилл Владимирович;310.0;51;36;46;45;28;56;48
35;Сурикова Анна Григорьевна;103.0;23;18;13;15;11;14;9
36;Сухарева Татьяна Викторовна;285.0;58;30;42;37;22;54;42
37;Тижоев Эдуард Владимирович;212.0;39;35;1;35;22;38;42
38;Торопова Мария Михайловна;665.0;94;68;132;99;88;133;51
39;Фоменко Владислав Валерьевич;303.0;44;40;43;49;25;56;46
40;Юрьев Артем Вячеславович;177.0;26;33;36;26;5;27;24
