;name;overall;УИК №500;УИК №501;УИК №502;УИК №503;УИК №508
14;Белобокова Екатерина Георгиевна;95.0;22;22;20;11;20
15;Бояркова Полина Александровна;565.0;125;82;104;102;152
16;Вихарева Эльвира Владимировна;313.0;60;81;67;25;80
17;Володин Алексей Алексеевич;515.0;127;90;83;86;129
18;Ефремова Наталья Ивановна;205.0;36;73;31;30;35
19;Карпенко Тамара Шалвовна;675.0;158;157;115;98;147
20;Коротаева Светлана Николаевна;337.0;66;121;59;46;45
21;Крюков Алексей Сергеевич;135.0;27;28;29;28;23
22;Кузнецов Александр Иванович;135.0;29;33;22;21;30
23;Логвиненко Ольга Андреевна;394.0;59;149;87;54;45
24;Миронова Елена Васильевна;263.0;41;72;51;47;52
25;Танасьев Евгений Григорьевич;100.0;15;26;21;23;15
26;Титова Екатерина Антанасовна;406.0;67;150;98;46;45
27;Хугаев Чермен Вазноевич;99.0;24;22;24;12;17
28;Цыганкова Раиса Владиславовна;198.0;35;58;41;39;25
29;Яковлева Александра Валериевна;189.0;35;49;37;22;46
30;Якубовский Александр Романович;551.0;152;82;99;92;126
