;name;overall;УИК №1110;УИК №1112;УИК №1114;УИК №1115;УИК №1116;УИК №1117;УИК №1118;УИК №1119;УИК №1120
14;Абрамов Дмитрий Валерьевич;367.0;19;30;27;66;47;30;60;46;42
15;Антонов Иосиф Геннадьевич;463.0;21;41;33;62;53;56;75;48;74
16;Бодриков Игорь Владимирович;803.0;46;113;90;92;114;72;117;67;92
17;Букреев Виктор Васильевич;171.0;15;13;13;36;26;15;26;6;21
18;Буров Сергей Юрьевич;182.0;20;23;10;39;27;12;16;8;27
19;Геллс Вероника Игоревна;373.0;34;46;25;66;43;36;43;39;41
20;Головин Николай Алексеевич;785.0;46;94;90;101;104;75;109;62;104
21;Дмитриева Марина Юрьевна;815.0;47;110;94;98;110;76;107;62;111
22;Земляков Дмитрий Владимирович;88.0;8;10;8;9;14;10;13;9;7
23;Кишмария Шалико Акакиевич;417.0;36;56;22;76;47;44;55;37;44
24;Маслов Василий Николаевич;344.0;16;51;25;63;38;50;28;33;40
25;Плетнева Людмила Ивановна;258.0;20;32;12;47;31;24;38;29;25
26;Ходаков Владимир Владимирович;463.0;19;47;27;68;65;51;61;61;64
27;Чикунов Владимир Михайлович;965.0;36;101;101;116;114;105;144;90;158
28;Шубина Майя Федоровна;342.0;20;43;19;67;37;31;49;39;37
