;name;overall;УИК №390;УИК №391;УИК №392;УИК №403;УИК №404
14;Аносов Вячеслав Борисович;140.0;33;23;17;31;36
15;Арсеньева Анастасия Александровна;381.0;93;39;57;95;97
16;Бадыгова Ольга Николаевна;671.0;128;154;144;119;126
17;Балахванцев Арчил Савелич;389.0;99;50;51;86;103
18;Векшина Ирина Владимировна;337.0;86;38;44;73;96
19;Вилкул Алексей Петрович;215.0;48;18;15;36;98
20;Гордеева Наталия Деомидовна;88.0;24;16;10;14;24
21;Гулина Татьяна Павловна;661.0;115;179;144;98;125
22;Ерошкина Людмила Анатольевна;552.0;98;134;140;84;96
23;Казачкина Елена Валентиновна;146.0;29;43;16;22;36
24;Казачкина Юлия Юрьевна;84.0;20;14;15;18;17
25;Ландырев Сергей Владимирович;83.0;19;10;12;12;30
26;Лукин Олег Сергеевич;117.0;33;18;23;16;27
27;Маркитантов Евгений Алексеевич;160.0;38;26;13;36;47
28;Мохов Степан Александрович;41.0;10;8;6;5;12
29;Оленев Антон Сергеевич;649.0;120;158;141;112;118
30;Пасианиди Али Атаф Алиевич;86.0;26;10;21;5;24
31;Прокопцев Никита Олегович;69.0;15;13;15;7;19
32;Рагулин Дмитрий Алексеевич;436.0;97;50;68;98;123
33;Рассудительнов Дмитрий Александрович;85.0;21;17;11;18;18
34;Сбродова Валентина Алексеевна;77.0;13;17;3;16;28
35;Скворцова Татьяна Николаевна;204.0;31;39;29;49;56
36;Сорокин Данила Владимирович;166.0;38;45;20;28;35
37;Стрункин Алексей Юрьевич;90.0;19;14;19;17;21
38;Супрун Анна Романовна;64.0;13;9;12;14;16
39;Шахназаров Артур Валерьевич;90.0;18;19;10;21;22
