;name;overall;УИК №38;УИК №39;УИК №40;УИК №41;УИК №42;УИК №43
14;Александров Алексей Геннадьевич;223.0;42;58;32;27;32;32
15;Баранова Светлана Павловна;660.0;119;166;78;105;79;113
16;Баранцев Виктор Сергеевич;907.0;111;148;157;159;181;151
17;Борисов Александр Сергеевич;248.0;64;64;22;30;28;40
18;Брумель Игорь Николаевич;293.0;36;49;39;72;48;49
19;Воронин Всеволод Михайлович;88.0;17;17;7;16;12;19
20;Гараев Артур Ирекович;130.0;26;28;15;19;18;24
21;Громов Артур Андреевич;147.0;27;28;16;30;19;27
22;Давыдов Денис Евгеньевич;762.0;117;137;79;157;169;103
23;Елистратов Алексей Александрович;743.0;120;173;85;133;115;117
24;Иванов Александр Александрович;260.0;50;76;24;33;28;49
25;Климентьев Роман Валерьевич;240.0;28;55;22;49;48;38
26;Колганов Дмитрий Александрович;109.0;21;17;16;18;16;21
27;Комов Александр Васильевич;513.0;109;114;53;89;62;86
28;Круглова Ольга Семеновна;715.0;135;141;78;102;123;136
29;Крылов Максим Юрьевич;196.0;22;49;25;40;31;29
30;Лексин Константин Григорьевич;150.0;17;30;15;28;38;22
31;Леонова Вера Александровна;960.0;115;157;169;167;191;161
32;Мазальская Ольга Владимировна;240.0;35;39;42;34;43;47
33;Марков Дмитрий Сергеевич;157.0;21;35;27;25;22;27
34;Минаева Алла Васильевна;177.0;25;41;20;29;32;30
35;Молочко Александр Михайлович;86.0;17;18;9;14;14;14
36;Мустафин Денис Рафаилович;752.0;82;115;135;128;176;116
37;Орехов Александр Владимирович;147.0;12;21;23;50;22;19
38;Павлинов Аркадий Борисович;216.0;27;47;30;27;42;43
39;Рыгалов Михаил Анатольевич;84.0;19;13;6;12;13;21
40;Таций Егор Сергеевич;860.0;90;144;168;149;178;131
41;Тишин Евгений Николаевич;146.0;15;43;18;28;17;25
42;Уразаева Марина Алексеевна;795.0;103;115;153;133;157;134
43;Хомутов Александр Борисович;79.0;11;16;8;16;9;19
44;Черняховский Борис Игоревич;112.0;21;23;24;13;14;17
45;Шарыпин Руслан Сергеевич;46.0;11;5;5;6;6;13
46;Юдина Наталья Сергеевна;298.0;59;99;38;29;28;45
