;name;overall;УИК №2514;УИК №2518;УИК №2519;УИК №2522;УИК №2523;УИК №2524;УИК №2525;УИК №2526;УИК №2527;УИК №2528;УИК №2529;УИК №2530;УИК №2531;УИК №2532;УИК №2533;УИК №2534;УИК №2535;УИК №2536;УИК №2537;УИК №2538;УИК №2539;УИК №2540
14;Белороссова Екатерина Олеговна;644.0;13;30;21;63;21;11;35;22;49;25;34;30;24;42;30;18;25;27;24;26;26;48
15;Бурназян Давид Александрович;1156.0;42;53;46;67;40;35;75;71;76;54;48;64;38;98;66;20;27;46;36;45;53;56
16;Владимиров Владимир Михайлович;358.0;15;14;15;17;12;5;17;17;20;21;16;23;15;29;16;12;12;13;13;17;18;21
17;Воронцов Борис Германович;1832.0;57;102;85;160;69;36;86;42;149;99;99;75;54;89;67;52;60;104;86;85;82;94
18;Геворкян Гаянэ Андреевна;180.0;5;5;7;12;10;5;7;7;17;9;7;7;5;10;8;12;8;8;10;7;7;7
19;Гулин Данила Алексеевич;1209.0;39;50;37;71;49;61;78;76;73;51;42;116;38;97;77;14;23;43;40;40;48;46
20;Джеджея Татьяна Юрьевна;1499.0;49;81;74;96;70;28;74;36;88;71;75;58;43;71;63;42;57;85;93;85;73;87
21;Зотова Юлия Викторовна;661.0;17;21;27;37;20;40;23;21;26;30;20;130;17;31;40;15;15;26;26;16;27;36
22;Ильина Тамара Владимировна;310.0;12;15;15;16;14;7;9;14;19;16;6;26;9;29;13;10;11;13;16;15;13;12
23;Катасонов Олег Вячеславович;434.0;5;15;17;36;15;6;21;23;21;35;21;18;7;36;27;12;20;17;23;13;22;24
24;Кеворкова Екатерина Анатольевна;1368.0;39;78;44;85;63;28;66;31;77;52;73;54;39;63;60;37;46;89;82;117;66;79
25;Малиновский Александр Михайлович;683.0;18;23;22;66;24;13;22;35;36;49;21;60;15;39;49;21;22;32;22;23;34;37
26;Мамочкин Виктор Николаевич;1230.0;40;50;44;64;47;65;70;82;71;52;58;68;38;112;71;20;23;63;40;36;55;61
27;Маслов Евгений Александрович;154.0;7;7;7;6;8;4;4;10;10;9;8;11;8;7;5;4;7;8;5;7;4;8
28;Межиковский Дмитрий Исаакович;405.0;8;17;18;32;16;7;19;21;25;23;12;27;13;30;23;12;15;17;13;9;26;22
29;Моренкова Дарима Батомункуевна;1095.0;39;46;33;61;42;64;69;67;72;57;47;58;36;87;57;18;30;44;37;35;48;48
30;Наконечный Владимир Борисович;473.0;6;15;17;40;14;11;22;24;27;32;21;24;9;33;32;9;20;21;19;21;30;26
31;Николаев Антон Александрович;1255.0;43;72;64;65;50;25;54;30;73;55;65;55;37;58;54;33;44;81;82;84;59;72
32;Панферова Ольга Олеговна;880.0;40;45;33;56;29;21;53;41;51;48;30;62;34;65;39;27;18;38;36;32;32;50
33;Пириев Михаил Рубэнович;395.0;7;12;37;36;14;12;20;14;14;17;15;23;9;26;22;6;16;18;14;16;29;18
34;Писклина Анна Викторовна;331.0;9;18;21;22;14;10;18;19;18;14;20;23;12;23;10;8;8;8;13;14;15;14
35;Рогачев Илья Сергеевич;166.0;7;6;5;9;4;0;6;8;8;10;7;14;12;4;12;5;3;7;4;18;8;9
36;Силантьев Антон Сергеевич;421.0;10;20;31;26;14;7;11;12;21;17;13;63;12;15;30;7;9;14;13;37;16;23
37;Стукалов Дмитрий Алексеевич;1082.0;42;44;33;66;47;83;75;77;54;46;29;70;36;80;70;17;21;37;26;38;48;43
38;Федоровский Дмитрий Олегович;1504.0;44;98;89;95;55;37;70;35;87;64;81;69;42;75;66;38;47;101;94;48;81;88
