;name;overall;УИК №1962;УИК №1963;УИК №1964;УИК №1965;УИК №1966;УИК №1968;УИК №1969;УИК №1970;УИК №1971;УИК №1972;УИК №1973;УИК №1974
14;Агарзаева Шовкет Гияседдиновна;166.0;6;16;13;19;12;12;18;11;11;15;22;11
15;Агафонов Павел Сергеевич;370.0;23;31;29;35;31;18;32;31;29;42;31;38
16;Балта Федора Михайловна;231.0;14;24;18;17;22;18;13;17;27;19;21;21
17;Бурмистрова Маргарита Ивановна;1263.0;93;97;123;108;77;80;115;103;121;121;123;102
18;Глотова Ирина Борисовна;1609.0;126;143;139;145;98;111;143;116;158;163;144;123
19;Давидова Виктория Юрьевна;442.0;35;40;39;49;27;26;36;40;54;36;32;28
20;Жеребцов Геннадий Владимирович;320.0;25;25;21;27;29;21;21;32;26;26;38;29
21;Ильин Олег Витальевич;495.0;48;89;39;43;33;23;29;26;58;41;36;30
22;Лобачев Петр Васильевич;355.0;21;18;21;32;38;25;35;31;28;43;26;37
23;Макалкина Валентина Викторовна;189.0;14;14;13;14;26;15;15;13;19;12;17;17
24;Макаров Михаил Валерьевич;422.0;34;25;26;35;34;27;31;46;30;64;34;36
25;Матвеенкова Елена Николаевна;1666.0;106;127;137;110;93;91;182;148;181;185;180;126
26;Новосельская Людмила Александровна;1480.0;101;117;131;126;98;96;139;117;148;148;142;117
27;Ошнокова Алла Арсеновна;1505.0;101;105;124;119;96;89;149;142;145;161;161;113
28;Панкратьева Дарья Владимировна;333.0;32;25;29;25;25;22;29;37;22;26;34;27
29;Петрухин Игорь Павлович;286.0;27;23;19;29;27;21;22;20;30;31;18;19
30;Попова Ирина Александровна;337.0;22;28;26;26;24;21;26;32;36;45;20;31
31;Соловьев Дмитрий Николаевич;643.0;57;42;58;64;61;48;45;62;70;58;33;45
32;Титов Владимир Юрьевич;352.0;25;32;22;33;19;17;33;33;44;40;27;27
