;name;overall;УИК №622;УИК №623;УИК №624;УИК №625;УИК №626;УИК №627;УИК №628;УИК №629
14;Белова Любовь Михайловна;821.0;68;64;82;100;141;126;138;102
15;Белоусова Лидия Александровна;504.0;112;46;77;64;73;46;39;47
16;Бурлака Ирина Владимировна;156.0;28;14;22;15;21;19;16;21
17;Бускин Игорь Владимирович;857.0;69;85;93;129;152;114;122;93
18;Герасимов Игорь Александрович;447.0;52;45;52;61;67;58;49;63
19;Держкова Марина Анатольевна;234.0;19;26;10;83;31;23;16;26
20;Елисеев Виталий Николаевич;556.0;59;56;63;58;99;86;64;71
21;Замышляев Максим Александрович;129.0;16;16;12;14;17;8;17;29
22;Кузин Александр Геннадьевич;595.0;76;98;95;95;70;78;37;46
23;Кузнецова Мария Ивановна;564.0;43;66;61;82;102;86;56;68
24;Кузнецова Татьяна Николаевна;656.0;111;125;70;60;83;78;71;58
25;Кутлунина Наталия Викторовна;660.0;112;147;62;64;88;77;58;52
26;Лихачев Алексей Александрович;230.0;31;24;25;31;41;32;24;22
27;Миронова Виктория Александровна;842.0;160;176;79;73;90;138;68;58
28;Павлий Николай Алексеевич;53.0;8;5;3;5;10;6;6;10
29;Пивоваров Николай Данилович;126.0;11;21;9;19;22;17;14;13
30;Полетаев Алексей Евгеньевич;74.0;9;8;9;3;9;11;12;13
31;Руссков Алексей Михайлович;80.0;9;8;4;7;8;11;17;16
32;Савин Вадим Леонидович;342.0;45;40;55;83;35;33;25;26
33;Улинкин Андрей Юрьевич;254.0;19;72;31;64;17;33;12;6
34;Федорова Наталия Николаевна;1087.0;214;243;127;121;113;147;65;57
35;Чупраков Руслан Азамович;68.0;8;4;7;5;12;9;10;13
36;Шнейд-Миллер Лита Константиновна;75.0;11;6;8;7;16;5;8;14
