;name;overall;УИК №88;УИК №89;УИК №90;УИК №91;УИК №92;УИК №93;УИК №97
14;Аваев Антон Алексеевич;109.0;20;20;14;17;12;13;13
15;Бочаров Сергей Николаевич;203.0;43;24;23;34;30;18;31
16;Бронников Михаил Александрович;169.0;33;14;14;36;28;13;31
17;Виноградова Маргарита Вениаминовна;108.0;17;13;10;21;12;15;20
18;Геворгян Армен Карапетович;149.0;11;8;11;21;18;7;73
19;Гесслер Кристина Андреевна;772.0;169;140;71;111;115;103;63
20;Григорьева Валентина Петровна;434.0;47;40;33;159;43;18;94
21;Гришина Ирина Викторовна;110.0;22;13;12;12;18;12;21
22;Гуляева Ирина Владимировна;563.0;68;50;61;84;119;85;96
23;Ивашкина Елена Валерьевна;746.0;148;127;81;107;113;107;63
24;Калацкая Екатерина Валерьевна;82.0;16;12;10;10;12;11;11
25;Колобова Маргарита Львовна;558.0;73;56;67;87;110;85;80
26;Петров Петр Петрович;740.0;93;78;85;152;123;80;129
27;Ромашкевич Анастасия Юрьевна;746.0;136;130;83;94;117;123;63
28;Рыбак Андрей Станиславович;51.0;7;5;10;7;11;1;10
29;Семенова Татьяна Борисовна;59.0;13;8;9;6;11;4;8
30;Туманов Андрей Владимирович;233.0;37;21;26;51;25;29;44
31;Чёрный Дмитрий Владимирович;187.0;37;24;28;28;26;20;24
32;Шевченко Наталия Викторовна;350.0;55;31;21;56;40;28;119
