;name;overall;УИК №480;УИК №490;УИК №491;УИК №492;УИК №493;УИК №494;УИК №495;УИК №496;УИК №497;УИК №498
14;Абрамов Андрей Владимирович;864.0;136;144;96;110;67;51;78;59;68;55
15;Абрамович Александр Борисович;231.0;44;40;24;27;16;22;12;12;25;9
16;Агеев Павел Витальевич;203.0;24;29;18;27;17;17;21;7;24;19
17;Алдохин Алексей Владимирович;771.0;152;126;72;91;64;49;65;51;52;49
18;Алексеев Роман Валерьевич;1049.0;369;151;63;112;62;74;69;42;47;60
19;Арнаутов Владимир Генрихович;593.0;57;62;65;86;55;29;44;33;126;36
20;Вишневская Надежда Николаевна;283.0;33;43;27;33;17;23;27;20;35;25
21;Вишнивецкий Иван Владимирович;962.0;187;126;51;92;67;52;114;72;117;84
22;Войтюк Александр Иванович;975.0;118;138;115;138;88;44;77;56;141;60
23;Герасимова Светлана Гурьевна;440.0;29;33;46;64;50;16;37;17;117;31
24;Глозман Александр Евгеньевич;1064.0;169;106;48;82;64;73;138;116;157;111
25;Гуцалюк Артем Вениаминович;1467.0;302;225;134;175;143;93;105;82;106;102
26;Забелина Наталья Аветиковна;847.0;110;98;45;80;53;52;108;76;140;85
27;Замышляев Максим Александрович;135.0;12;26;8;17;14;14;9;7;17;11
28;Кошелева Валентина Григорьевна;319.0;34;42;31;25;30;37;29;17;47;27
29;Литвинов Сергей Александрович;272.0;25;39;23;31;29;27;24;11;41;22
30;Малкин Дмитрий Викторович;832.0;133;81;80;114;106;47;47;35;138;51
31;Монахов Михаил Игоревич;147.0;32;14;17;14;19;5;13;6;23;4
32;Облезова Елена Игоревна;637.0;102;95;73;78;50;48;55;45;52;39
33;Орлова Елена Васильевна;151.0;14;19;9;20;21;14;13;8;19;14
34;Папков Алексей Борисович;604.0;97;81;28;52;33;37;88;50;78;60
35;Риб Герман Владимирович;338.0;37;44;27;31;40;41;27;17;49;25
36;Степкин Евгений Валериевич;119.0;18;21;9;11;16;0;9;10;16;9
37;Тарасова Марина Валентиновна;802.0;158;109;34;83;42;40;108;63;96;69
38;Тимофеюк Наталья Юрьевна;716.0;183;102;45;86;56;88;43;33;35;45
39;Шабалдин Дмитрий Васильевич;211.0;33;30;17;23;8;14;22;23;25;16
40;Якушева Елена Ивановна;739.0;48;51;72;125;82;50;52;38;159;62
