;name;overall;УИК №156;УИК №157;УИК №158;УИК №159;УИК №161;УИК №162;УИК №165;УИК №167
14;Абрамов Антон Ильич;357.0;29;81;43;47;25;45;27;60
15;Азар Илья Вильямович;1660.0;252;248;230;237;141;188;203;161
16;Арифуллина Екатерина Ануаровна;144.0;15;30;11;17;11;19;13;28
17;Байдакова Майя Николаевна;943.0;135;113;123;123;103;118;108;120
18;Бурганов Игорь Александрович;740.0;69;189;56;84;45;54;89;154
19;Волконская Мария Сергеевна;411.0;53;59;49;60;33;35;42;80
20;Гарелина Мария Николаевна;106.0;10;21;8;10;8;15;6;28
21;Грязнова Анна Михайловна;1511.0;214;215;198;210;127;216;182;149
22;Гущина Нина Владимировна;851.0;108;197;53;98;66;67;104;158
23;Зверев Денис Викторович;298.0;25;64;20;41;24;34;37;53
24;Изюмская Елена Владимировна;141.0;13;36;13;19;8;12;16;24
25;Иноземцев Никита Владиславович;779.0;71;112;90;115;80;102;93;116
26;Карнаухов Алексей Владимирович;1124.0;173;133;129;156;111;137;168;117
27;Кондратчик Юрий Константинович;218.0;19;29;16;34;53;16;28;23
28;Королева Анастасия Александровна;177.0;11;48;10;22;9;19;17;41
29;Костина Елена Андреевна;163.0;10;35;17;18;18;23;17;25
30;Лукьянова Анна Константиновна;1167.0;168;166;205;188;83;120;123;114
31;Мансарлийская Людмила Федоровна;742.0;95;183;63;87;42;56;91;125
32;Мансуров Антон Александрович;107.0;4;29;12;11;7;8;9;27
33;Милантьев Константин Станиславович;285.0;29;48;27;20;15;32;68;46
34;Нахимсон Александр Эммануилович;1262.0;197;167;175;185;105;153;165;115
35;Павлова Татьяна Львовна;705.0;74;174;69;77;57;57;78;119
36;Перфильев Виктор Вячеславович;153.0;17;25;15;21;13;14;13;35
37;Пирогов Григорий Степанович;215.0;26;47;20;23;14;25;24;36
38;Попова Эмма Семеновна;819.0;93;199;83;114;51;66;79;134
39;Сафонов Дмитрий Анатольевич;120.0;7;48;3;11;4;7;11;29
40;Серин Илья Александрович;117.0;5;21;6;10;4;10;36;25
41;Смирнов Антон Дмитриевич;224.0;14;50;23;30;17;34;27;29
42;Тегина Татьяна Михайловна;148.0;22;36;9;14;11;15;13;28
43;Чистый Михаил Борисович;335.0;29;64;33;47;23;48;46;45
44;Яковлев Сергей Иванович;249.0;16;76;21;25;14;28;22;47
