;name;overall;УИК №807;УИК №808;УИК №809;УИК №810;УИК №811;УИК №812;УИК №813;УИК №814;УИК №825;УИК №826
14;Алипбеков Абдулла Каипович;194.0;22;16;23;23;17;8;5;25;29;26
15;Алипова Ирина Павловна;238.0;45;27;16;30;20;11;11;35;23;20
16;Береснев Петр Александрович;240.0;31;24;25;23;14;11;19;34;41;18
17;Бурцева Алевтина Валерьевна;1269.0;172;109;149;156;118;97;77;158;137;96
18;Гайдарова Юлия Александровна;1102.0;139;91;134;156;119;76;67;124;110;86
19;Григорян Эдгар Сейранович;464.0;76;47;27;49;55;26;22;48;60;54
20;Данилов Илья Вадимович;287.0;38;31;28;26;26;16;16;34;43;29
21;Дашков Юрий Владимирович;454.0;56;47;31;45;41;28;27;50;63;66
22;Демин Михаил Николаевич;392.0;41;36;36;54;36;20;27;68;40;34
23;Добрынин Сергей Александрович;171.0;23;17;11;20;10;18;13;22;24;13
24;Ефимов Максим Владимирович;126.0;16;11;6;13;11;14;8;18;18;11
25;Иванов Олег Александрович;1308.0;184;119;148;164;127;88;69;151;144;114
26;Каменский Дмитрий Владимирович;512.0;71;57;65;88;43;17;21;57;54;39
27;Курбатов Иван Васильевич;478.0;84;83;44;67;32;20;25;49;29;45
28;Малышева Евгения Михайловна;192.0;33;17;9;16;19;14;11;25;31;17
29;Пятников Виталий Михайлович;188.0;21;17;15;19;12;17;7;27;31;22
30;Рыбакова Марина Серафимовна;1247.0;157;107;146;152;130;92;66;160;138;99
31;Сидоров Юрий Михайлович;555.0;83;54;35;58;80;33;34;54;61;63
32;Суздальцев Илья Алексеевич;313.0;47;34;27;34;21;15;7;40;42;46
33;Траханов Федор Анисимович;230.0;21;20;15;34;21;10;10;25;28;46
34;Усатый Ярослав Николаевич;376.0;39;39;53;50;50;22;28;50;25;20
35;Федотова Ольга Назаровна;424.0;45;44;30;41;39;24;18;54;71;58
36;Чесалина Юлия Александровна;444.0;77;40;69;73;36;20;25;47;31;26
37;Шатверян Тамара Сергеевна;1039.0;110;86;136;150;114;82;59;127;89;86
38;Ярычевский Павел Иосифович;196.0;38;17;13;32;21;3;13;23;25;11
