;name;overall;УИК №554;УИК №555;УИК №560;УИК №561;УИК №562;УИК №563;УИК №564;УИК №565;УИК №568;УИК №569;УИК №570;УИК №571;УИК №572;УИК №576
14;Аменуэль Лариса Владимировна;571.0;34;25;35;41;49;61;33;38;35;48;33;47;28;64
15;Байкиев Тимур Ильмирович;249.0;23;17;14;17;18;30;9;15;23;14;9;19;9;32
16;Блохин Александр Владимирович;518.0;38;37;37;36;51;47;39;37;21;30;44;32;25;44
17;Власкин Максим Геннадьевич;1385.0;83;90;96;103;93;140;79;89;131;102;147;88;62;82
18;Воронин Сергей Анатольевич;681.0;50;40;40;49;48;49;43;44;52;42;57;42;50;75
19;Ганжа Валентина Витальевна;1587.0;93;102;128;120;102;143;90;89;150;120;181;105;68;96
20;Давыдов Владимир Станиславович;671.0;56;47;35;54;69;38;47;40;47;48;35;37;58;60
21;Данилов Илья Вадимович;392.0;35;19;26;20;22;33;23;32;23;33;21;28;19;58
22;Журавлев Алексей Евгеньевич;543.0;50;26;36;52;57;51;35;29;32;43;28;25;35;44
23;Иванов Сергей Сергеевич;472.0;34;28;36;42;39;23;22;33;31;39;36;29;30;50
24;Ленников Вячеслав Викторович;291.0;16;18;20;25;25;27;26;15;23;19;25;10;20;22
25;Михеев Тимофей Алексеевич;394.0;26;31;21;29;26;22;25;31;31;30;33;21;21;47
26;Никушкина Ирина Николаевна;582.0;32;33;25;53;45;45;46;40;39;50;57;33;25;59
27;Панков Иван Леонидович;427.0;23;30;29;40;38;22;27;24;32;30;37;25;23;47
28;Сычёва Елена Владимировна;1290.0;72;89;97;93;72;109;84;81;118;107;132;86;65;85
29;Филиппенкова Светлана Борисовна;1346.0;67;88;106;103;79;145;75;83;135;98;138;92;61;76
30;Филиппова Евгения Александровна;1615.0;84;92;114;118;94;218;103;96;149;119;152;97;79;100
