;name;overall;УИК №257;УИК №258;УИК №259;УИК №260;УИК №261;УИК №262;УИК №263;УИК №264;УИК №265;УИК №266;УИК №267;УИК №269
14;Александров Никита Сергеевич;404.0;23;38;25;28;30;45;39;49;42;21;28;36
15;Алексеев Виталий Борисович;194.0;14;17;21;15;14;22;15;14;19;14;13;16
16;Андреева Юлия Андреевна;609.0;52;51;61;36;59;46;52;44;52;40;42;74
17;Ворновская Светлана Сергеевна;382.0;24;31;38;32;34;41;33;35;31;24;21;38
18;Воронков Александр Викторович;688.0;68;64;68;54;59;56;63;54;55;46;38;63
19;Давыдов Аркадий Владимирович;405.0;31;31;20;34;40;48;33;28;32;34;35;39
20;Ефанов Сергей Юрьевич;507.0;57;42;45;24;57;46;48;35;33;35;37;48
21;Караханова Валя Сергеевна;1415.0;120;134;107;79;115;137;118;146;100;133;140;86
22;Коляденко Ратмир Владимирович;234.0;14;19;30;17;26;21;15;29;19;19;7;18
23;Кондратьева Татьяна Сергеевна;348.0;36;25;25;27;31;30;30;36;28;28;19;33
24;Мачинская Татьяна Васильевна;333.0;17;26;26;19;37;37;31;19;29;30;31;31
25;Мещеряков Борис Борисович;1434.0;140;133;105;90;118;136;118;134;105;145;123;87
26;Миронова Валентина Никитична;1396.0;127;130;118;92;75;118;123;137;107;137;146;86
27;Пачеко-Рейнага Галина Николаевна;1273.0;118;131;106;84;71;105;102;125;103;122;128;78
28;Потапенкова Светлана Михайловна;496.0;36;39;35;36;46;49;49;33;38;39;43;53
29;Сергевнин Дмитрий Алексеевич;315.0;19;34;21;18;29;35;30;19;26;23;32;29
30;Сидорова Вера Петровна;1469.0;126;140;114;89;108;132;106;134;127;155;138;100
31;Симашкова Татьяна Александровна;368.0;25;31;25;23;31;36;40;25;23;31;29;49
32;Терехов Дмитрий Юрьевич;392.0;30;33;20;21;46;48;36;39;25;24;29;41
33;Умнов Вячеслав Иванович;225.0;15;21;13;9;19;24;21;22;32;12;20;17
34;Чаплинский Сергей Михайлович;429.0;31;39;57;27;48;33;28;45;26;27;25;43
35;Шматков Сергей Алексеевич;651.0;77;65;59;44;62;42;43;55;50;44;43;67
