;name;overall;УИК №1874;УИК №1875;УИК №1876;УИК №1877;УИК №1878;УИК №1879;УИК №1880;УИК №1881;УИК №1882;УИК №1883;УИК №1884;УИК №1885;УИК №1886;УИК №1887;УИК №1888;УИК №1894
14;Алексашин Антон Владимирович;460.0;19;19;34;20;31;37;35;33;31;31;25;21;34;40;38;12
15;Бакулева Татьяна Евгеньевна;916.0;46;26;49;43;61;89;78;43;62;73;53;58;59;65;70;41
16;Богомазова Оксана Викторовна;882.0;34;37;36;45;57;68;65;57;55;76;57;52;48;76;61;58
17;Быкова Юлия Валерьевна;1615.0;66;68;101;125;82;95;108;101;107;103;109;104;108;201;107;30
18;Винокуров Роман Евгеньевич;1346.0;45;52;82;99;76;73;105;117;94;86;103;83;92;143;69;27
19;Горбачев Олег Константинович;696.0;47;16;45;34;49;67;58;37;35;45;43;47;40;60;56;17
20;Горемыкин Михаил Юрьевич;1548.0;68;66;99;124;84;86;106;105;97;100;107;99;100;170;101;36
21;Козловский Матвей Владимирович;707.0;32;32;33;40;41;41;42;45;48;65;53;43;31;64;49;48
22;Кувшинов Сергей Сергеевич;236.0;10;12;13;16;12;17;15;6;28;15;16;19;12;13;24;8
23;Малинин Владислав Константинович;469.0;22;14;22;32;25;34;23;22;41;40;34;46;28;32;35;19
24;Мельникова Ольга Николаевна;1604.0;73;62;91;130;84;89;111;109;102;118;118;97;113;174;97;36
25;Мхитарьянц Альберт Суренович;124.0;4;4;8;5;9;12;10;11;6;10;9;5;9;11;8;3
26;Панина Марина Сергеевна;930.0;42;25;52;52;63;89;81;53;68;68;57;54;55;70;66;35
27;Попова Наталья Витальевна;269.0;15;9;16;21;17;23;13;19;23;23;17;21;15;11;19;7
28;Рогинский Игорь Владимирович;658.0;30;27;30;31;35;41;49;40;54;65;39;37;32;50;49;49
29;Степин Олег Илларионович;314.0;22;15;7;14;20;21;26;19;29;15;17;17;25;26;33;8
30;Страхов Марк Александрович;184.0;8;6;9;10;11;15;19;29;17;8;4;9;10;18;7;4
31;Цигуров Виталий Александрович;437.0;24;5;29;26;29;40;31;25;39;36;28;22;26;29;33;15
32;Чекаева Наталья Петровна;557.0;16;24;49;29;37;43;34;25;57;48;34;43;27;38;31;22
33;Шишкова Татьяна Борисовна;1385.0;50;61;80;110;71;67;104;91;96;85;107;86;94;176;73;34
