;name;overall;УИК №1718;УИК №1719;УИК №1720;УИК №1721;УИК №1722;УИК №1723;УИК №1724;УИК №1725;УИК №1727;УИК №1728;УИК №1729;УИК №1730;УИК №1731
14;Большаков Александр Викторович;244.0;22;24;26;11;17;13;25;19;20;8;22;26;11
15;Вершинский Вадим Олегович;635.0;77;68;63;55;64;14;58;92;23;27;26;40;28
16;Волков Дмитрий Александрович;1523.0;104;95;89;82;149;137;155;170;149;127;117;84;65
17;Галин Илья Михайлович;296.0;24;29;25;22;36;21;35;18;17;22;19;18;10
18;Глазкова Алла Васильевна;555.0;38;48;41;45;29;30;37;89;28;23;91;31;25
19;Ковалев Сергей Сергеевич;363.0;23;19;33;20;19;28;37;49;31;18;43;27;16
20;Коростиленко Елена Алексеевна;1426.0;139;104;91;96;124;115;147;125;129;114;101;87;54
21;Маслова Татьяна Александровна;815.0;70;60;61;53;70;40;69;184;30;35;55;45;43
22;Мельников Виктор Алексеевич;459.0;43;33;41;31;44;18;36;40;46;41;24;37;25
23;Ментусова Елена Ивановна;209.0;20;12;20;15;21;14;18;15;17;16;12;13;16
24;Мункуев Жаргал Артурович;379.0;33;36;45;95;25;14;24;17;18;21;23;20;8
25;Низамова Елена Валерьевна;277.0;17;17;19;17;25;13;19;23;27;38;13;31;18
26;Никитина Людмила Викторовна;280.0;30;24;23;19;26;18;27;17;17;25;17;23;14
27;Петрухненко Николай Евгеньевич;205.0;23;22;23;17;14;8;27;12;11;12;12;12;12
28;Пименова Мария Николаевна;190.0;25;17;20;12;16;10;15;10;14;15;12;17;7
29;Рязанов Олег Владиславович;191.0;13;18;12;15;11;11;21;12;18;26;8;13;13
30;Сергеев Николай Владимирович;430.0;30;30;35;24;33;16;22;36;32;79;26;40;27
31;Сорокина Дарья Николаевна;780.0;57;57;89;80;46;41;63;90;59;50;66;48;34
32;Сычева Анастасия Митрофановна;240.0;19;23;26;24;22;11;20;22;15;13;19;20;6
33;Тихонов Андрей Викторович;333.0;23;29;26;18;29;14;15;29;34;37;18;42;19
34;Угрюмова Людмила Вячеславовна;992.0;100;183;70;58;75;43;88;131;39;46;64;48;47
35;Уколова Елена Васильевна;1450.0;77;91;80;115;112;122;140;133;129;120;133;120;78
36;Шаповалов Ростислав Сергеевич;1076.0;86;65;72;66;92;95;105;97;94;76;92;78;58
37;Шульгин Дмитрий Александрович;1229.0;90;86;79;77;113;99;127;126;104;83;103;84;58
38;Юрова Нина Ивановна;389.0;35;25;42;58;33;20;28;26;25;25;21;33;18
