;name;overall;УИК №850;УИК №851;УИК №852;УИК №853;УИК №858;УИК №859;УИК №860;УИК №861;УИК №862;УИК №879;УИК №881
14;Афанасьев Сергей Иванович;1370.0;116;129;137;200;215;103;120;102;98;123;27
15;Васильев Алексей Алексеевич;884.0;95;69;78;74;116;59;107;81;83;105;17
16;Васильев Михаил Сергеевич;372.0;28;45;29;41;46;23;43;28;34;43;12
17;Волков Егор Николаевич;947.0;112;83;87;86;118;71;100;93;79;104;14
18;Воловик Константин Ефимович;1223.0;113;126;125;172;177;90;103;85;89;125;18
19;Галкин Александр Андреевич;226.0;11;23;22;30;32;21;31;15;16;16;9
20;Гурциев Виталий Джумберович;173.0;14;23;18;18;22;11;23;9;11;15;9
21;Ерохин Владимир Петрович;890.0;96;69;80;78;105;59;129;92;72;97;13
22;Иванова Елена Николаевна;354.0;34;46;41;36;36;34;46;20;25;25;11
23;Крещенская Татьяна Леонидовна;987.0;82;86;87;97;113;70;139;119;79;97;18
24;Левин Станислав Леонидович;126.0;16;20;6;18;14;11;14;9;6;11;1
25;Мокрицын Дмитрий Андреевич;977.0;96;63;84;110;107;76;110;93;89;133;16
26;Орехов Павел Николаевич;305.0;28;34;34;29;40;32;28;27;23;20;10
27;Разумова Татьяна Евгеньевна;134.0;20;12;5;20;18;15;19;7;7;10;1
28;Саулина Ольга Леонидовна;137.0;21;14;6;17;12;9;17;13;15;12;1
29;Силаева Людмила Викторовна;1118.0;93;104;129;163;157;97;108;70;68;111;18
30;Сиротский Алексей Александрович;429.0;63;68;37;39;46;33;50;24;32;27;10
31;Смоленская Юлия Александровна;1142.0;96;102;112;178;160;82;122;77;81;111;21
32;Фролов Александр Александрович;136.0;19;21;9;16;20;10;10;7;14;7;3
33;Юрченко Егор Михайлович;1000.0;84;82;105;146;159;79;95;63;68;98;21
34;Яшин Игорь Васильевич;566.0;96;117;45;62;38;36;50;34;42;35;11
