;name;overall;УИК №1167;УИК №1168;УИК №1171;УИК №1172;УИК №1173;УИК №1174;УИК №1179;УИК №1180;УИК №1181;УИК №1182;УИК №1184;УИК №1185
14;Воробьев Алексей Владимирович;577.0;50;34;46;76;50;44;45;47;51;56;42;36
15;Гришкина Валентина Нинельевна;1295.0;163;77;62;118;59;91;89;93;95;157;197;94
16;Гуртикова Екатерина Сергеевна;273.0;28;17;25;25;23;10;25;32;23;32;18;15
17;Жеребятьев Даниил Алексеевич;602.0;42;41;58;74;49;31;51;64;71;44;44;33
18;Калинин Сергей Владимирович;339.0;26;20;22;29;28;15;32;35;37;30;24;41
19;Комков Александр Викторович;333.0;21;15;28;35;34;21;20;42;34;29;28;26
20;Кузнецов Дмитрий Михайлович;411.0;28;23;27;36;37;24;36;53;54;36;32;25
21;Максимов Виктор Валерьевич;483.0;37;27;42;54;39;39;42;54;49;47;32;21
22;Нахошкин Алексей Дмитриевич;147.0;5;12;12;19;5;5;17;11;18;21;10;12
23;Осипов Василий Сергеевич;427.0;35;18;40;56;36;32;41;43;36;42;26;22
24;Петелин Юрий Николаевич;1146.0;157;71;59;114;66;93;71;85;87;135;144;64
25;Пономарев Алексей Анатольевич;1180.0;149;75;50;111;68;91;72;95;98;144;152;75
26;Ротарь Мария Алексеевна;174.0;11;15;15;9;17;14;11;19;19;16;13;15
27;Русакова Анастасия Андреевна;376.0;23;31;36;53;30;28;26;45;28;35;28;13
28;Трушкин Алексей Игоревич;519.0;49;34;36;54;47;30;38;64;41;60;32;34
29;Уткин Егор Сергеевич;246.0;20;15;18;30;17;7;24;24;40;24;16;11
30;Холодков Виталий Александрович;492.0;37;35;43;54;45;40;50;37;35;58;30;28
31;Чулюкин Артем Васильевич;303.0;20;16;24;39;25;11;26;29;39;36;19;19
32;Шаклычева-Компанец Елена Олеговна;1423.0;196;98;83;131;80;111;86;115;127;154;161;81
33;Яковлева Татьяна Владимировна;1325.0;165;86;73;126;78;109;81;109;98;150;152;98
