;name;overall;УИК №730;УИК №731;УИК №732;УИК №733;УИК №734;УИК №735;УИК №736;УИК №737
14;Акимов Александр Дмитриевич;307.0;35;48;35;45;43;34;37;30
15;Бельцева Ольга Александровна;843.0;81;128;122;101;101;96;130;84
16;Добрынина Наталия Юрьевна;194.0;26;44;21;24;25;21;16;17
17;Дроздова Наталия Анатольевна;633.0;78;81;67;85;65;60;105;92
18;Жильцов Алексей Вячеславович;775.0;72;116;104;84;89;89;136;85
19;Коновалов Валерий Михайлович;176.0;26;18;8;40;16;23;17;28
20;Морозов Николай Владимирович;134.0;19;11;9;18;25;17;20;15
21;Пахомова Наталия Александровна;510.0;57;52;48;51;53;48;137;64
22;Рудакова Светлана Александровна;117.0;9;24;16;15;11;19;15;8
23;Степкин Евгений Валериевич;121.0;15;34;14;12;19;8;11;8
24;Татарченко Валентин Викторович;779.0;77;111;104;90;102;78;130;87
25;Фалько Людмила Анатольевна;510.0;70;60;45;62;61;45;75;92
26;Фитхулин Максим Эдуардович;74.0;6;11;8;12;8;9;12;8
27;Цыганова Ирина Кузьминична;427.0;31;67;40;54;61;44;77;53
28;Эльпер Евгений Яковлевич;167.0;22;32;18;27;23;18;14;13
