;name;overall;УИК №3291;УИК №3292;УИК №3293;УИК №3294;УИК №3295;УИК №3296;УИК №3297;УИК №3298
14;Борткевича Наталия Николаевна;196.0;19;30;34;24;31;14;21;23
15;Бронштейн Наталья Ивановна;99.0;13;18;9;17;10;8;13;11
16;Вишняускас Олег Казимерович;174.0;13;28;29;24;22;19;20;19
17;Григорьев Сергей Викторович;277.0;22;52;37;32;39;26;24;45
18;Егорова Анна Александровна;199.0;24;27;30;31;7;27;26;27
19;Казанская Анастасия Михайловна;437.0;45;80;57;45;38;51;53;68
20;Кирсанова Татьяна Владимировна;175.0;14;26;30;19;33;17;17;19
21;Кисловская Ирина Петровна;709.0;95;66;65;99;122;121;58;83
22;Ковердяев Сергей Николаевич;611.0;87;52;52;79;110;113;58;60
23;Копейкин Юрий Константинович;745.0;86;73;83;106;131;120;65;81
24;Лисичкина Елена Николаевна;166.0;25;19;17;34;9;25;16;21
25;Лобанова Влада Константиновна;234.0;23;31;39;26;23;26;29;37
26;Морозов Валерий Валерьевич;205.0;11;28;28;22;38;28;18;32
27;Морозов Игорь Владимирович;262.0;29;33;28;35;32;38;27;40
28;Мохте Владимир Сергеевич;545.0;65;50;44;72;121;89;46;58
29;Орлов Александр Александрович;145.0;13;25;18;21;7;19;21;21
30;Павлова Зинаида Ивановна;198.0;20;39;25;24;20;18;26;26
31;Тимошина Юлия Сергеевна;142.0;9;20;17;17;37;12;10;20
32;Чагин Сергей Сергеевич;403.0;49;75;74;49;29;22;42;63
33;Черненко Елена Аскольдовна;794.0;104;87;80;103;131;126;74;89
