;name;overall;УИК №59;УИК №60;УИК №61;УИК №62;УИК №63;УИК №65;УИК №66
14;Бакин Анатолий Евгеньевич;483.0;48;52;93;56;64;81;89
15;Васильев Андрей Владимирович;183.0;20;14;42;12;25;33;37
16;Вихлянцев Роман Вячеславович;92.0;25;7;9;6;16;14;15
17;Гапонов Олег Васильевич;102.0;12;22;15;12;10;13;18
18;Гриничев Антон Эдуардович;158.0;13;26;13;23;22;34;27
19;Грушнин Валерий Павлович;401.0;53;80;63;26;41;65;73
20;Гумаров Александр Ринатович;772.0;79;148;91;87;128;124;115
21;Данилова Анна Геннадьевна;981.0;123;121;197;98;87;152;203
22;Долинский Максим Семенович;894.0;76;164;115;100;158;150;131
23;Закускин Александр Андреевич;1108.0;134;138;202;119;92;168;255
24;Иорданян Альберт Вардович;1032.0;131;149;218;99;90;160;185
25;Калашникова Мария Викторовна;225.0;36;26;31;27;28;41;36
26;Каракуц Александр Анатольевич;790.0;106;92;207;63;58;129;135
27;Каримов Рустам Шамилевич;156.0;18;12;41;8;19;29;29
28;Красников Георгий Евгеньевич;703.0;72;141;90;63;113;122;102
29;Кукин Алексей Владимирович;187.0;33;31;28;17;20;27;31
30;Мацак Станислав Анатольевич;225.0;15;35;34;24;64;29;24
31;Медведев Кирилл Феликсович;379.0;43;51;62;39;62;61;61
32;Мизеров Иван Игоревич;288.0;27;29;53;25;40;54;60
33;Николаева Ксения Алексеевна;225.0;29;21;26;37;24;33;55
34;Никулин Александр Владимирович;122.0;15;13;27;27;16;10;14
35;Новиков Арсений Дмитриевич;233.0;24;39;26;22;30;47;45
36;Павлова Татьяна Николаевна;800.0;106;82;172;61;55;157;167
37;Панасенко Игорь Михайлович;1056.0;113;200;130;107;164;171;171
38;Панина Елена Николаевна;260.0;37;34;32;19;30;45;63
39;Проничкин Дмитрий Викторович;106.0;16;20;13;8;11;17;21
40;Ржевский Сергей Александрович;120.0;16;9;11;13;20;38;13
41;Рубе Вера Сергеевна;82.0;5;6;19;6;8;18;20
42;Самошкина Алена Николаевна;427.0;32;32;27;27;58;190;61
43;Степанов Владислав Сергеевич;889.0;81;166;110;96;154;156;126
44;Фаттяхетдинов Рафик Абдулкадирович;141.0;12;7;40;32;14;14;22
45;Фомичева Елена Алексеевна;591.0;62;57;101;93;83;84;111
46;Хирин Сергей Викторович;92.0;18;9;6;9;14;22;14
47;Чжен Валерий Юрьевич;57.0;12;7;8;4;7;12;7
48;Щербань Анастасия Юрьевна;236.0;24;20;53;28;38;29;44
