;name;overall;УИК №2541;УИК №2542;УИК №2544;УИК №2547
14;Буня Игорь Викторович;385.0;105;135;25;120
15;Бурков Алекксей Олегович;93.0;19;23;5;46
16;Бутузов Александр Викторович;111.0;14;45;6;46
17;Вагин Станислав Александрович;72.0;18;27;2;25
18;Валеева Наталья Николаевна;123.0;17;45;10;51
19;Грозная Галина Ионасовна;553.0;114;214;27;198
20;Зайберт Ирина Петровна;31.0;7;16;1;7
21;Заковранова Елена Дмитриевна;384.0;136;108;19;121
22;Калугин Владимир Владимирович;132.0;15;44;13;60
23;Комарницкий Олег Викторович;137.0;14;37;15;71
24;Кротов Николай Иванович;155.0;14;68;13;60
25;Кузьмина Ирина Игоревна;246.0;4;168;16;58
26;Куренной Григорий Александрович;89.0;39;26;6;18
27;Михеева Марина Александровна;412.0;94;156;35;127
28;Мурзаков Сергей Васильевич;143.0;4;50;7;82
29;Новиков Юрий Михайлович;272.0;22;98;16;136
30;Носов Сергей Николаевич;259.0;10;53;11;185
31;Попок Алексей Александрович;25.0;5;9;1;10
32;Ранджиткар Галина Константиновна;45.0;6;13;2;24
33;Сибельдин Денис Николаевич;66.0;15;22;5;24
34;Хасьянов Марат Мансурович;33.0;7;8;2;16
35;Швеев Виталий Николаевич;142.0;14;57;2;69
36;Эрлих Арина Юрьевна;346.0;85;114;36;111
