;name;overall;УИК №2543;УИК №2545;УИК №2546
14;Ан Нина Сергеевна;209.0;134;36;39
15;Васильева Елена Валентиновна;408.0;102;148;158
16;Вента Владимир Андреевич;169.0;43;61;65
17;Вильган Наталья Павловна;90.0;28;31;31
18;Дубасова Людмила Васильевна;123.0;61;30;32
19;Ерохин Алексей Владимирович;395.0;101;147;147
20;Ерохин Анатолий Михайлович;241.0;28;87;126
21;Ильин Сергей Николаевич;54.0;11;18;25
22;Красиков Максим Михайлович;58.0;26;9;23
23;Краснова Ольга Вячеславовна;369.0;119;125;125
24;Лазаренков Антон Александрович;164.0;22;67;75
25;Мельник Оксана Николаевна;118.0;23;47;48
26;Мешков Владимир Иванович;231.0;26;108;97
27;Нестерин Владимир Иванович;139.0;33;46;60
28;Петрович Сергей Георгиевич;192.0;21;74;97
29;Разумович Роман Евгеньевич;97.0;27;29;41
30;Рогов Василий Иванович;342.0;100;126;116
31;Рудковский Андрей Андреевич;66.0;14;24;28
32;Созонов Марк Анатольевич;117.0;36;28;53
33;Трутнева Светлана Васильевна;432.0;103;150;179
34;Федорук Виктор Никанорович;192.0;44;59;89
