;name;overall;УИК №1820;УИК №1821;УИК №1825;УИК №1826;УИК №1827;УИК №1828;УИК №1829;УИК №1830;УИК №1832;УИК №1833
14;Абдурахманова Асият Сайпулаевна;132.0;13;18;17;9;18;14;9;7;15;12
15;Аверин Валерий Иванович;521.0;86;42;36;66;66;58;28;34;40;65
16;Алленов Андрей Михайлович;980.0;93;44;116;112;117;116;75;100;85;122
17;Андрианов Михаил Владимирович;893.0;120;54;102;88;104;95;64;84;72;110
18;Анисимов Сергей Олегович;278.0;36;30;27;30;28;26;23;22;22;34
19;Ежов Владислав Анатольевич;476.0;66;55;31;48;39;61;39;32;52;53
20;Заусаева Наталья Васильевна;1140.0;96;67;143;149;163;131;88;105;74;124
21;Злобин Валерий Николаевич;262.0;34;27;25;35;21;32;18;19;26;25
22;Злочевский Дмитрий Валерьевич;450.0;42;31;26;121;46;39;31;42;33;39
23;Канунова Гульнара Вялитовна;220.0;24;3;25;27;19;25;20;19;20;38
24;Ковалев Евгений Валерьевич;216.0;34;21;24;29;16;25;15;15;22;15
25;Комков Андрей Васильевич;214.0;28;16;15;20;13;28;18;24;24;28
26;Кувшинов Николай Владимирович;356.0;80;27;31;31;30;41;18;28;25;45
27;Мареичева Наталья Александровна;947.0;84;48;107;111;117;96;69;83;98;134
28;Махнаев Дмитрий Сергеевич;232.0;29;10;19;56;15;30;15;11;17;30
29;Пименова Мария Николаевна;133.0;9;10;14;28;13;15;8;10;12;14
30;Прокопьева Ангелина Сергеевна;489.0;77;60;26;64;51;62;38;26;52;33
31;Рябева Евгения Николаевна;865.0;78;43;96;92;97;99;64;83;108;105
32;Святкин Игорь Сергеевич;165.0;30;16;15;9;9;27;11;16;14;18
33;Тимохов Иван Сергеевич;535.0;51;32;35;79;61;68;44;37;83;45
34;Титов Сергей Сергеевич;234.0;17;18;25;30;29;40;11;22;20;22
35;Умников Антон Геннадьевич;107.0;8;5;8;23;6;17;9;11;10;10
36;Хайбулаев Руслан Бадрудинович;255.0;17;12;101;26;44;20;8;9;12;6
