;name;overall;УИК №98;УИК №100;УИК №101;УИК №102;УИК №103;УИК №104
14;Алатырцева Людмила Александровна;210.0;16;28;77;18;37;34
15;Ахметова Гольназ Илгизовна;468.0;45;57;94;99;85;88
16;Берлетов Никита Юрьевич;28.0;6;6;3;5;4;4
17;Богачев Василий Викторович;164.0;35;37;27;29;23;13
18;Бочаров Евгений Николаевич;202.0;34;42;38;25;33;30
19;Бударина Тамара Валерьевна;76.0;12;10;14;12;15;13
20;Гаврилова Ольга Георгиевна;154.0;15;27;47;20;29;16
21;Галкин Дмитрий Николаевич;153.0;27;72;16;11;20;7
22;Еремеев Андрей Иванович;258.0;21;25;147;20;32;13
23;Кирюхина Наталия Александровна;49.0;4;14;11;6;6;8
24;Михеев Георгий Ивлиевич;138.0;14;25;25;26;24;24
25;Михеев Олег Константинович;87.0;7;11;18;20;15;16
26;Новиков Юрий Владимирович;258.0;41;47;47;38;49;36
27;Носиков Виктор Владимирович;535.0;78;69;103;128;82;75
28;Пушков Геннадий Евгеньевич;67.0;10;17;5;11;14;10
29;Ракчеева Наталья Владимировна;64.0;10;14;13;7;11;9
30;Салаутдинов Султан Абдурахманович;44.0;5;11;8;6;11;3
31;Симакин Илья Владимирович;432.0;85;73;84;85;61;44
32;Ситдиков Ахмят Умярович;840.0;53;61;151;180;221;174
33;Соболев Кирилл Дмитриевич;51.0;9;4;10;8;13;7
34;Соколов Андрей Алексеевич;331.0;48;69;52;43;58;61
35;Строкатов Владимир Александрович;330.0;74;58;34;74;53;37
36;Струков Владимир Александрович;205.0;28;39;76;27;20;15
37;Федоров Вадим Андреевич;208.0;47;41;21;28;37;34
38;Юдин Лев Игоревич;41.0;3;4;2;11;9;12
