;name;overall;УИК №1655;УИК №1656;УИК №1657;УИК №1658;УИК №1662;УИК №1663;УИК №1664;УИК №1665;УИК №1666;УИК №1667;УИК №1668;УИК №1669;УИК №1670;УИК №1671
14;Акимова Татьяна Владимировна;422.0;24;16;33;26;25;15;37;32;28;34;37;39;35;41
15;Алдошин Денис Владимирович;189.0;9;13;13;15;14;5;10;13;12;16;19;24;15;11
16;Анохин Василий Николаевич;468.0;24;33;42;38;34;16;32;38;22;22;31;53;39;44
17;Артюхина Татьяна Владимировна;270.0;11;16;31;18;16;12;15;23;16;18;22;27;25;20
18;Валяйчикова Евгения Геннадьевна;315.0;33;18;27;21;26;14;13;23;21;15;21;40;27;16
19;Галанова Марина Сергеевна;552.0;47;39;43;25;44;23;34;37;39;32;38;47;51;53
20;Годовова Юлия Николаевна;291.0;16;22;30;14;18;15;21;20;19;19;24;29;22;22
21;Делова Дарья Андреевна;165.0;5;11;14;7;12;2;13;6;10;15;18;18;20;14
22;Дмитриева Ольга Ивановна;421.0;29;24;27;36;38;14;29;18;48;16;30;42;38;32
23;Епанешников Иван Владиславович;157.0;13;14;9;6;11;3;9;7;15;6;23;10;17;14
24;Зайнетдинов Марат Валерьевич;1093.0;45;79;79;102;66;27;90;81;84;91;112;66;87;84
25;Кострюков Михаил Антонович;369.0;63;19;27;19;25;15;24;16;23;13;31;35;31;28
26;Кудрявцев Дмитрий Викторович;321.0;22;17;27;25;29;16;16;27;17;21;27;25;22;30
27;Кузина Марина Юрьевна;1212.0;50;81;84;110;90;32;100;96;83;94;113;88;95;96
28;Молчанов Павел Викторович;1154.0;53;77;81;112;79;30;108;88;84;91;103;74;90;84
29;Нерсесова Елена Валериевна;1157.0;51;100;87;109;81;29;101;86;82;87;112;63;86;83
30;Никитенков Дмитрий Сергеевич;541.0;49;41;41;25;49;24;27;35;35;32;36;50;46;51
31;Сарсеева Альмира Алимхановна;217.0;23;22;17;16;14;13;13;10;11;5;14;21;16;22
32;Сергиевский Евгений Станиславович;203.0;69;15;7;12;12;6;16;9;8;9;3;10;11;16
33;Смагер Татьяна Владимировна;131.0;5;15;13;9;13;3;7;11;6;8;11;9;13;8
34;Трохименко Георгий Алексеевич;92.0;4;10;6;8;3;0;7;6;7;6;12;8;7;8
35;Хасметдинов Дамир Мясумович;99.0;3;10;11;5;5;2;7;4;8;5;17;5;8;9
36;Чеботарева Лариса Владимировна;117.0;10;9;14;7;13;9;6;4;4;3;13;9;9;7
37;Чичваркин Александр Владимирович;316.0;63;13;19;20;24;20;16;12;19;8;27;26;27;22
38;Шемчук Александра Андреевна;147.0;10;10;8;6;11;6;19;13;5;5;18;15;12;9
39;Яковлева Елена Николаевна;1233.0;45;88;66;112;85;26;100;95;75;109;136;98;102;96
