;name;overall;УИК №722;УИК №723;УИК №724;УИК №725;УИК №726;УИК №727;УИК №728;УИК №729
14;Аристова Нина Михайловна;513.0;59;43;65;109;61;55;68;53
15;Большакова Елена Викторовна;1029.0;159;125;158;152;116;114;117;88
16;Васюков Виктор Владимирович;187.0;35;20;31;25;18;22;16;20
17;Воронцова Ирина Геннадьевна;415.0;50;44;51;42;50;52;63;63
18;Галайко Лидия Сергеевна;56.0;13;6;8;5;8;6;8;2
19;Горкавенко Наталья Львовна;299.0;28;18;45;85;33;33;21;36
20;Дегтярева Ирина Викторовна;137.0;24;17;22;18;13;10;14;19
21;Добрынин Сергей Александрович;167.0;19;18;20;28;10;18;19;35
22;Евдокимова Елена Николаевна;279.0;45;35;37;37;29;35;28;33
23;Ильин Игорь Сергеевич;180.0;30;12;23;32;15;20;24;24
24;Каземирова Лариса Александровна;751.0;109;92;120;104;86;79;82;79
25;Содолев Дмитрий Андреевич;74.0;12;8;15;10;7;11;6;5
26;Соломатов Иван Васильевич;269.0;46;29;48;33;25;39;26;23
27;Строганова Алла Олеговна;246.0;34;24;41;32;40;30;22;23
28;Чалых Екатерина Викторовна;234.0;39;21;30;32;27;31;29;25
29;Чертакова Наталья Владимировна;184.0;33;18;31;24;12;24;22;20
30;Шильников Алексей Михайлович;647.0;87;78;109;85;81;72;74;61
31;Юнес Омар Махмудович;242.0;37;20;22;26;20;40;47;30
