;name;overall;УИК №1917;УИК №1918;УИК №1921;УИК №1922;УИК №1942;УИК №1943;УИК №1944;УИК №1945;УИК №1946;УИК №1947;УИК №1948
14;Аминова Наталья Викторовна;232.0;23;32;22;22;29;31;17;13;18;21;4
15;Баранов Александр Владленович;277.0;23;34;26;26;31;25;31;23;23;34;1
16;Бочаров Игорь Алексеевич;248.0;25;22;23;30;16;24;33;19;23;25;8
17;Дмитриева Наталия Николаевна;1435.0;179;157;177;137;81;156;115;111;140;132;50
18;Дрыга Алексей Сергеевич;348.0;19;32;31;27;44;33;56;26;27;47;6
19;Дубровина Светлана Ивановна;1286.0;169;146;134;136;74;151;96;93;123;119;45
20;Дюльгер Надежда Ивановна;192.0;19;43;8;20;21;14;10;14;17;22;4
21;Казанцева Ольга Александровна;258.0;27;36;12;29;32;28;13;27;29;22;3
22;Коннова Елена Львовна;1282.0;136;124;146;129;96;161;107;100;117;119;47
23;Кривдюк Михаил Юрьевич;676.0;74;77;43;91;48;51;65;87;68;69;3
24;Куликова Олеся Игоревна;287.0;28;41;21;32;26;24;31;25;23;31;5
25;Малец Георгий Генрихович;589.0;61;66;35;82;32;47;65;77;59;61;4
26;Миронов Дмитрий Сергеевич;357.0;38;45;23;38;33;40;33;23;40;41;3
27;Околот Наталья Владимировна;1307.0;143;130;140;140;87;173;104;93;129;128;40
28;Рекик Алескандр Слимович;101.0;8;17;4;7;12;12;9;7;10;14;1
29;Смирнова Валентина Викторовна;639.0;74;69;40;87;46;48;57;75;69;69;5
30;Созонов Владимир Константинович;192.0;21;27;25;22;14;18;17;10;17;20;1
31;Сорокина Дарья Николаевна;228.0;15;22;15;24;27;25;34;26;19;19;2
32;Сысоева Людмила Анатольевна;1330.0;135;116;148;113;92;186;106;115;139;143;37
33;Тен Татьяна Андреевна;233.0;20;13;18;20;25;48;14;24;23;25;3
34;Толмачев Павел Каюмович;311.0;39;43;27;34;23;32;32;27;29;23;2
35;Филиппова Евгения Анатольевна;714.0;82;78;55;105;46;62;64;83;61;77;1
36;Четайкин Виктор Викторович;229.0;23;35;26;20;18;35;21;16;22;11;2
37;Шалаева Екатерина Николаевна;336.0;46;33;21;44;23;28;29;44;30;35;3
