;name;overall;УИК №963;УИК №964;УИК №965;УИК №966;УИК №967;УИК №968;УИК №969;УИК №970;УИК №971;УИК №975;УИК №976;УИК №977;УИК №978;УИК №979;УИК №980
14;Акишин Антон Иванович;1984.0;90;99;101;91;119;127;183;160;166;87;230;149;139;137;106
15;Алиев Мариф Ариф оглы;178.0;8;6;13;9;16;13;12;21;15;11;15;11;4;12;12
16;Балабуткин Алексей Алексеевич;412.0;19;28;23;18;34;33;23;40;28;33;26;33;30;24;20
17;Барвашова Анна Валерьевна;676.0;44;43;42;57;69;59;35;54;42;34;40;53;28;42;34
18;Бессонов Сергей Ильич;208.0;7;12;10;19;11;12;14;23;13;14;17;16;5;16;19
19;Буканова Наталья Львовна;2098.0;105;112;100;110;119;153;189;187;159;84;234;147;141;146;112
20;Галявиев Алмаз Александрович;606.0;32;53;34;54;67;57;33;40;37;25;31;51;26;41;25
21;Горячева Ольга Петровна;396.0;14;30;25;16;39;34;26;38;28;25;27;24;19;17;34
22;Гусаков Артём Юрьевич;785.0;50;38;55;49;61;66;40;69;63;42;38;60;52;49;53
23;Захаров Дмитрий Николаевич;2341.0;108;112;116;123;119;197;238;251;187;99;233;163;139;140;116
24;Зубков Роман Александрович;297.0;20;18;19;20;13;20;26;31;19;17;20;20;13;24;17
25;Климачев Павел Михайлович;496.0;27;20;27;36;29;41;35;27;31;23;30;61;24;22;63
26;Корнилов Валерий Викторович;451.0;26;27;26;28;28;48;26;38;29;21;27;23;27;47;30
27;Краюшин Сергей Александрович;1844.0;93;92;80;86;104;119;170;156;147;86;215;141;131;134;90
28;Куликова Юлия Геннадьевна;252.0;9;16;19;13;24;17;19;19;12;10;12;14;18;19;31
29;Окопный Олег Юрьевич;634.0;31;59;85;51;44;53;31;46;36;34;33;22;33;33;43
30;Отмахов Юрий Федорович;1586.0;75;78;67;64;79;105;164;141;126;59;222;111;107;117;71
31;Пащенко Андрей Викторович;121.0;18;9;9;10;7;11;4;10;12;8;6;3;5;3;6
32;Полтев Валерий Николаевич;209.0;11;9;18;17;15;23;11;18;9;15;12;17;6;17;11
33;Прокопович Сергей Евгеньевич;299.0;19;23;75;22;19;21;10;20;14;10;11;12;16;13;14
34;Рощупкин Платон Алиевич;755.0;31;53;56;49;59;67;37;51;37;45;43;55;59;51;62
35;Струкова Татьяна Ивановна;606.0;25;40;32;40;40;65;32;49;41;38;34;29;37;62;42
36;Юренев Михаил Андреевич;427.0;25;32;25;17;30;44;30;32;36;34;27;28;25;20;22
