;name;overall;УИК №49;УИК №50;УИК №51;УИК №52;УИК №53
14;Агневский Даниил Александрович;177.0;36;51;45;26;19
15;Айнетдинов Шамиль Тахирович;85.0;18;17;20;19;11
16;Алёхин Олег Николаевич;663.0;77;117;140;258;71
17;Безрукова Елена Георгиевна;157.0;32;24;36;45;20
18;Бекетов Александр Александрович;208.0;19;44;48;67;30
19;Болотин Максим Олегович;167.0;24;76;35;22;10
20;Волкова Анастасия Викторовна;207.0;41;58;44;37;27
21;Горинов Алексей Александрович;690.0;121;158;171;162;78
22;Дружнова Елена Николаевна;131.0;14;23;32;43;19
23;Елисаветский Максим Константинович;86.0;6;19;18;30;13
24;Ильин Роман Анатольевич;197.0;19;41;50;62;25
25;Котёночкина Елена Александровна;761.0;134;163;184;192;88
26;Крошкин Лев Леонидович;382.0;52;68;99;118;45
27;Кунцевич Елена Георгиевна;142.0;14;30;34;47;17
28;Леднев Александр Иванович;93.0;10;17;17;29;20
29;Максимов Сергей Михайлович;461.0;55;78;87;183;58
30;Мохов Алексей Викторович;792.0;144;178;200;186;84
31;Порецкова Татьяна Валерьевна;542.0;61;100;101;210;70
32;Репин Иван Владимирович;134.0;33;16;29;40;16
33;Росс Антон Викторович;49.0;4;10;15;13;7
34;Рощин Афанасий Иванович;571.0;71;151;121;171;57
35;Сальников Юрий Александрович;245.0;34;63;47;76;25
36;Сидорин Дмитрий Анатольевич;60.0;7;15;15;14;9
37;Суворов Кирилл Александрович;400.0;61;77;96;123;43
38;Титов Сергей Сергеевич;151.0;33;44;38;24;12
39;Федотов Артём Владимирович;60.0;10;10;15;17;8
40;Царьков Петр Анатольевич;787.0;142;156;203;203;83
41;Чепинога Алла Валерьевна;116.0;16;26;33;30;11
42;Шапиро Юлия Вадимовна;183.0;36;58;42;32;15
43;Шарапов Алексей Андреевич;49.0;5;8;16;12;8
44;Щанин Александр Семенович;146.0;26;42;32;32;14
45;Щетнева Елена Евгеньевна;570.0;76;109;109;212;64
46;Яшин Илья Валерьевич;919.0;164;207;220;233;95
