;name;overall;УИК №918;УИК №919;УИК №920;УИК №921;УИК №922;УИК №923;УИК №925;УИК №930;УИК №932;УИК №935;УИК №936;УИК №939
14;Амержанова Людмила Нордовна;139.0;9;4;18;8;17;11;11;16;3;18;14;10
15;Баландин Александр Иванович;309.0;27;9;37;18;25;23;18;22;4;25;76;25
16;Барышев Алексей Сергеевич;1743.0;156;321;157;103;139;139;169;146;39;118;140;116
17;Беляков Сергей Владимирович;667.0;59;7;60;51;63;55;59;78;10;75;76;74
18;Большаков Николай Александрович;1502.0;137;320;126;86;111;124;149;107;40;87;125;90
19;Бородин Олег Владимирович;660.0;65;4;69;45;60;54;60;53;11;80;78;81
20;Бурякова Елена Николаевна;1785.0;164;325;154;113;144;145;192;139;44;126;143;96
21;Вишницкий Сергей Валентинович;220.0;24;1;30;12;17;17;16;23;5;37;21;17
22;Дмитриева Виктория Вадимовна;373.0;22;5;32;25;45;34;26;85;4;34;31;30
23;Жабин Николай Михайлович;487.0;27;7;48;46;40;37;44;58;5;69;46;60
24;Залесская Ирина Сергеевна;368.0;35;2;34;33;35;33;38;35;3;56;30;34
25;Ключко Оксана Викторовна;409.0;32;3;34;35;38;24;54;38;2;54;48;47
26;Кондрашов Алексей Анатольевич;799.0;52;2;70;85;57;65;65;76;8;71;115;133
27;Кутузов Денис Андреевич;170.0;18;3;15;22;14;12;12;26;1;14;17;16
28;Лаптев Дмитрий Валерьевич;276.0;20;2;29;41;19;27;19;36;5;14;22;42
29;Митяков Владимир Константинович;134.0;7;0;19;9;12;10;10;15;0;37;9;6
30;Молочко Александр Михайлович;131.0;11;3;20;10;10;12;9;15;2;13;13;13
31;Мрыхина Елена Александровна;290.0;32;4;32;13;18;32;32;29;5;38;29;26
32;Мусульбес Давид Владимирович;1526.0;129;325;127;88;119;133;154;113;34;100;119;85
33;Натаров Илья Владимирович;146.0;13;1;26;8;19;16;6;12;0;17;22;6
34;Ненахов Сергей Иванович;373.0;28;2;37;31;33;23;47;50;4;50;37;31
35;Никитин Анатолий Константинович;183.0;20;0;23;15;11;15;11;12;4;16;21;35
36;Новиков Николай Васильевич;353.0;18;4;29;32;30;26;40;57;6;44;37;30
37;Орлов Павел Геннадьевич;552.0;44;3;45;41;57;49;48;49;7;56;69;84
38;Савина Оксана Александровна;607.0;44;2;62;46;57;60;37;87;12;70;42;88
39;Садиков Сергей Иванович;490.0;43;3;45;33;56;43;47;36;5;61;56;62
40;Сергеев Владимир Анатольевич;251.0;15;2;28;54;19;26;13;43;3;20;16;12
41;Смирнов Максим Николаевич;326.0;24;1;28;26;20;22;37;46;5;42;42;33
42;Шилова Юлия Владимировна;443.0;34;3;49;28;44;44;52;38;2;58;43;48
43;Шмаков Виталий Валентинович;252.0;26;7;24;16;22;18;14;23;4;30;30;38
44;Шматковский Владимир Федорович;1655.0;145;363;141;115;123;136;155;129;37;100;119;92
