;name;overall;УИК №1;УИК №2;УИК №7;УИК №8
14;Артанов Игорь Иванович;156.0;39;46;40;31
15;Берендт Владимир Владимирович;34.0;7;10;7;10
16;Бреусова Ирина Львовна;31.0;6;10;5;10
17;Брюзгин Антон Владимирович;32.0;9;9;12;2
18;Бусько Владислав Вячеславович;208.0;38;62;60;48
19;Вирабян Нерсес Гегамович;17.0;6;3;5;3
20;Вонаршенко Елена Владимировна;197.0;120;41;18;18
21;Гончаров Дмитрий Александрович;174.0;48;35;48;43
22;Гуллер Нонна Викторовна;407.0;82;81;130;114
23;Гуцов Алексей Михайлович;47.0;9;18;13;7
24;Дерюга Иван Михайлович;35.0;8;11;8;8
25;Дибиров Шамиль Мусаевич;121.0;45;30;20;26
26;Дулин Виктор Сергеевич;458.0;99;106;137;116
27;Егоров Юрий Иванович;355.0;61;91;93;110
28;Зверев Станислав Викторович;40.0;11;7;10;12
29;Какителашвили Сергей Ильич;437.0;84;94;144;115
30;Карапетян Эдуард Агасиевич;55.0;5;9;12;29
31;Карулин Владимир Юрьевич;23.0;5;7;6;5
32;Кирюшина Светлана Викторовна;111.0;27;24;42;18
33;Кленцова Алина Михайловна;171.0;128;14;19;10
34;Колодкин Ефим Романович;432.0;76;98;125;133
35;Костюкович Максим Николаевич;38.0;6;6;6;20
36;Котов Николай Денисович;314.0;114;65;64;71
37;Кулыгин Алексей Кириллович;123.0;26;30;30;37
38;Лобанов Юрий Николаевич;259.0;52;51;77;79
39;Мезенцев Илья Николаевич;351.0;64;90;107;90
40;Молчанов Дмитрий Юрьевич;301.0;96;75;67;63
41;Муравьева Ольга Александровна;186.0;45;43;57;41
42;Наумова Анна Сергеевна;53.0;14;16;14;9
43;Орешкин Олег Анатольевич;75.0;19;33;15;8
44;Пономарева Ирина Викторовна;276.0;42;65;62;107
45;Рудберг Елена Борисовна;247.0;59;62;69;57
46;Савельев Андрей Антонович;34.0;9;12;6;7
47;Талызина Марианна Генриевна;197.0;110;30;33;24
48;Тимонина Мария Темуровна;106.0;35;25;26;20
49;Тиунова Виктория Викторовна;342.0;56;71;103;112
50;Шляпин Александр Сергеевич;55.0;9;13;14;19
51;Яковенко Вера Николаевна;405.0;80;102;97;126
