;name;overall;УИК №607;УИК №608;УИК №609;УИК №610;УИК №611;УИК №612;УИК №613;УИК №614
14;Алексеева Юлия Анатольевна;413.0;50;75;51;67;47;49;38;36
15;Буткевич Владимир Гаевич;298.0;30;24;40;56;46;33;30;39
16;Гордеев Николай Владимирович;207.0;31;38;11;30;26;19;20;32
17;Гуляев Павел Владимирович;1153.0;147;165;172;168;157;89;109;146
18;Дулькин Александр Семенович;426.0;51;59;70;71;41;39;47;48
19;Ивлева Екатерина Сергеевна;344.0;52;37;48;55;45;40;33;34
20;Кравченкова Полина Анатольевна;263.0;32;27;33;49;36;24;33;29
21;Лавров Дмитрий Витальевич;503.0;56;80;49;75;60;46;76;61
22;Лапко Фаина Ивановна;1209.0;200;222;200;169;140;75;87;116
23;Леонов Владимир Васильевич;284.0;33;29;30;46;22;30;60;34
24;Мерзликин Александр Юрьевич;1063.0;137;144;152;136;159;88;99;148
25;Минчев Дмитрий Юрьевич;262.0;36;34;20;52;39;26;27;28
26;Павлюченко Светлана Владимировна;877.0;112;120;125;124;129;71;83;113
27;Петренко Юлия Олеговна;94.0;8;17;11;15;9;12;9;13
28;Платонова Анна Александровна;255.0;28;30;36;45;29;20;46;21
29;Попович Елена Александровна;145.0;16;23;10;16;15;21;19;25
30;Прудник Денис Олегович;326.0;44;49;37;46;28;29;45;48
31;Пряхина Марина Викторовна;141.0;19;17;19;20;21;12;16;17
32;Савельева Татьяна Владленовна;1006.0;145;131;146;149;143;79;90;123
33;Селихова Юлия Васильевна;141.0;18;21;20;15;14;19;20;14
34;Смирнов Алексей Юрьевич;142.0;15;17;22;21;15;10;22;20
35;Танасьев Евгений Григорьевич;108.0;16;6;19;13;16;9;16;13
36;Тихонова Ольга Васильевна;315.0;29;30;44;46;40;36;57;33
