;name;overall;УИК №2548;УИК №2563;УИК №2564;УИК №2566;УИК №2567
14;Варнавский Александр Сергеевич;134.0;17;21;36;38;22
15;Головацкий Павел Геннадьевич;60.0;8;15;15;14;8
16;Ершова Елена Афанасьевна;397.0;64;57;102;83;91
17;Жуков Алексей Альбертович;275.0;120;33;30;40;52
18;Зыкина Мария Вячеславовна;442.0;76;102;111;66;87
19;Ковалеров Станислав Николаевич;370.0;57;65;103;65;80
20;Королев Евгений Иванович;243.0;27;38;53;53;72
21;Коротков Виктор Олегович;122.0;14;21;28;33;26
22;Костычева Марина Александровна;61.0;11;6;9;17;18
23;Мальцев Александр Андреевич;283.0;45;53;63;54;68
24;Рудакова Елена Александровна;47.0;6;5;10;13;13
25;Рудакова Светлана Александровна;32.0;3;5;8;7;9
26;Синченко Роман Николаевич;257.0;35;60;74;44;44
27;Трифонов Сергей Юрьевич;751.0;104;102;160;144;241
28;Тупикин Дмитрий Васильевич;82.0;14;16;21;14;17
29;Федосов Владислав Владимирович;137.0;25;11;32;33;36
30;Чувилин Андрей Александрович;118.0;18;23;20;36;21
