;name;overall;УИК №2151;УИК №2152;УИК №2153;УИК №2154;УИК №2155;УИК №2156
14;Акиева Луиза Батарбековна;228.0;21;53;48;31;52;23
15;Ардельянов Андрей Валентинович;1028.0;110;221;188;187;177;145
16;Бибикова Елена Владимировна;439.0;34;104;99;76;69;57
17;Вартанов Олег Игоревич;414.0;30;104;88;70;61;61
18;Гусляев Артем Александрович;249.0;30;55;54;26;45;39
19;Дорофеев Сергей Владимирович;223.0;19;46;29;44;69;16
20;Дурманов Александр Александрович;192.0;14;45;42;33;37;21
21;Забелина Светлана Алексеевна;265.0;24;50;67;36;47;41
22;Завьялов Алексей Петрович;170.0;10;37;46;20;37;20
23;Замиховский Антон Михайлович;74.0;4;30;18;8;8;6
24;Каменцева Людмила Артуровна;130.0;12;36;29;17;24;12
25;Кирюхин Илья Сергеевич;201.0;21;37;40;32;45;26
26;Лангар Артем Рахимуллович;928.0;154;209;137;157;152;119
27;Останина Вера Александровна;71.0;10;12;11;11;14;13
28;Севостьянова Юлия Борисовна;355.0;26;86;79;63;51;50
29;Терехов Константин Владимирович;41.0;2;9;11;4;10;5
30;Толкачев Григорий Олегович;913.0;98;207;142;165;172;129
31;Топорнин Николай Борисович;173.0;33;29;28;30;26;27
