;name;overall;УИК №2386;УИК №2387;УИК №2388;УИК №2389;УИК №2390;УИК №2391;УИК №2392;УИК №2393;УИК №2394;УИК №2395
14;Азаренкова Екатерина Николаевна;588.0;61;58;72;73;63;74;68;19;31;69
15;Астахов Михаил Игоревич;483.0;61;53;39;40;45;59;39;9;72;66
16;Баскаков Андрей Николаевич;706.0;72;83;100;92;80;86;72;23;35;63
17;Бобенко Майя Геннадиевна;758.0;73;105;151;71;80;58;51;9;89;71
18;Ванеев Вячеслав Владимирович;257.0;28;18;37;23;36;42;20;2;29;22
19;Варижкин Виталий Валентинович;149.0;10;34;40;8;9;9;13;1;15;10
20;Власенко Алексей Вячеславович;82.0;9;11;6;6;9;8;12;1;10;10
21;Воропаев Олег Владимирович;824.0;72;115;145;89;76;69;68;10;106;74
22;Гусев Алексей Алексеевич;888.0;79;126;168;103;102;63;51;8;98;90
23;Досаева Зяйтюня Османовна;544.0;51;53;82;61;53;96;53;14;19;62
24;Захаров Егор Андреевич;45.0;2;2;6;10;6;5;4;1;6;3
25;Карпов Александр Игоревич;64.0;8;8;8;9;6;5;6;3;5;6
26;Красикова Марина Валерьевна;263.0;31;81;46;17;11;12;16;1;25;23
27;Куликов Александр Николаевич;216.0;26;25;15;22;44;20;20;4;18;22
28;Милованкин Александр Александрович;131.0;15;13;16;10;11;16;14;9;17;10
29;Реус Олеся Алексеевна;122.0;12;16;15;11;14;12;14;2;13;13
30;Русский Александр Васильевич;243.0;22;29;23;41;19;19;28;1;25;36
31;Соколова Алла Геннадьевна;212.0;17;21;16;15;20;33;35;4;18;33
32;Сорокина Мария Юрьевна;147.0;19;12;22;13;7;14;21;0;19;20
33;Хабибуллин Александр Ринатович;48.0;6;2;3;4;12;2;4;0;8;7
34;Хегай Марина Юрьевна;633.0;60;56;73;67;56;135;67;23;18;78
35;Чернышева Мария Андреевна;550.0;56;86;111;54;62;20;38;5;68;50
36;Шевцов Сергей Сергеевич;136.0;13;14;15;17;11;12;20;1;15;18
