;name;overall;УИК №2078;УИК №2079;УИК №2080;УИК №2081;УИК №2082;УИК №2083;УИК №2084;УИК №2085;УИК №2086;УИК №2087;УИК №2088;УИК №2090;УИК №2091
14;Бабамуратов Антон Александрович;264.0;4;12;25;27;8;15;34;27;16;23;24;22;27
15;Бордовская Ольга Геннадьевна;1748.0;143;182;146;236;167;85;137;90;96;139;107;74;146
16;Данилов Михаил Вячеславович;285.0;8;19;33;22;19;18;36;13;30;24;25;9;29
17;Земляной Сергей Васильевич;609.0;57;61;89;27;62;35;38;31;40;53;56;24;36
18;Киселев Алексей Дмитриевич;211.0;19;16;11;14;17;13;17;7;19;21;18;12;27
19;Кравченко Сергей Вячеславович;242.0;10;27;24;18;11;15;23;12;21;26;16;19;20
20;Кураш Ирина Анатольевна;1782.0;142;186;142;228;168;80;140;118;113;139;109;70;147
21;Муравьева Евгения Олеговна;241.0;9;15;28;30;11;16;21;7;13;26;23;17;25
22;Муравьева Екатерина Олеговна;253.0;6;16;28;30;9;19;23;12;19;30;19;17;25
23;Птушкина Наталья Александровна;1761.0;133;193;163;217;169;90;128;89;117;154;99;69;140
24;Советова Елена Викторовна;1721.0;147;184;132;232;165;75;122;93;110;147;99;72;143
25;Судариков Юрий Леонидович;238.0;11;11;27;7;15;22;20;10;23;26;22;17;27
26;Сурикова Анна Григорьевна;216.0;14;26;17;5;14;16;26;14;16;25;18;5;20
27;Ткач Ирина Петровна;1725.0;138;181;128;221;167;78;124;87;116;153;108;73;151
28;Токарев Сергей Викторович;199.0;7;7;9;13;12;20;24;10;18;32;22;7;18
29;Юнисов Рушан Максутович;236.0;8;11;24;16;11;27;27;17;10;30;30;12;13
