;name;overall;УИК №1029;УИК №1039;УИК №1040;УИК №1041;УИК №1042;УИК №1043;УИК №1044;УИК №1045;УИК №1046;УИК №1047;УИК №1048;УИК №1049
14;Барац Фридрих Яковлевич;1178.0;93;128;154;100;90;90;101;72;72;58;178;42
15;Берестнева Оксана Александровна;938.0;96;158;85;94;47;81;82;75;41;49;102;28
16;Богачева Людмила Валентиновна;745.0;70;97;61;101;44;68;76;60;40;36;67;25
17;Коваленко Лариса Валентиновна;1042.0;58;109;125;98;52;97;99;74;61;91;134;44
18;Малинина Елена Викторовна;576.0;36;61;67;66;34;54;60;26;34;36;80;22
19;Медведев Антон Владимирович;1269.0;145;157;119;88;130;114;77;53;83;106;139;58
20;Меламуд Вадим Эмильевич;725.0;54;91;65;84;45;70;76;69;32;37;78;24
21;Никоноров Антон Степанович;359.0;45;56;26;33;18;36;48;9;14;20;43;11
22;Сатункин Денис Павлович;233.0;29;39;16;15;12;28;24;8;16;17;19;10
23;Фомичева Ирина Евгеньевна;757.0;49;90;88;78;50;72;72;55;36;43;94;30
24;Царенко Татьяна Владимировна;1535.0;144;148;185;143;109;119;123;108;85;91;215;65
25;Шкурский Сергей Владимирович;444.0;29;47;59;40;33;39;45;28;17;31;60;16
26;Янчук Елена Юрьевна;1557.0;95;177;186;126;97;125;146;110;80;116;224;75
