;name;overall;УИК №1744;УИК №1745;УИК №1746;УИК №1747;УИК №1748;УИК №1749;УИК №1750;УИК №1751;УИК №1752
14;Авдеев Сергей Юрьевич;177.0;16;17;34;19;10;20;16;31;14
15;Белан Сергей Петрович;522.0;65;69;64;59;33;79;51;47;55
16;Бельченко Виктор Алексеевич;790.0;105;107;97;73;80;104;69;73;82
17;Бирковский Илья Станиславович;86.0;17;10;11;8;4;13;9;9;5
18;Бутко Роман Викторович;246.0;28;23;32;25;16;41;26;32;23
19;Веденин Валерий Геннадьевич;83.0;12;8;19;8;3;11;2;14;6
20;Внуков Алексей Олегович;408.0;22;15;17;18;186;7;59;13;71
21;Геворкян Гаянэ Андреевна;45.0;3;12;7;4;1;2;7;7;2
22;Гой Юлия Евгеньевна;62.0;8;7;6;7;4;8;5;14;3
23;Десятова Анна Владимировна;679.0;94;69;71;75;27;104;51;110;78
24;Донских Константин Викторович;110.0;6;15;18;16;6;8;7;26;8
25;Заздравная Елена Сергеевна;152.0;19;18;24;21;12;13;11;24;10
26;Иошина Ольга Николаевна;241.0;22;30;39;29;20;25;32;28;16
27;Котоменкова Светлана Васильевна;270.0;19;24;36;27;28;33;45;40;18
28;Кривенцова Елена Константиновна;144.0;44;13;16;11;6;16;14;12;12
29;Куликов Никита Алексеевич;669.0;87;68;65;63;55;81;49;120;81
30;Миняев Алексей Сергеевич;678.0;81;74;75;53;123;87;54;67;64
31;Нестеров Александр Валерьевич;90.0;15;17;10;8;7;10;9;8;6
32;Никитин Дмитрий Вячеславович;64.0;7;2;9;15;4;6;8;3;10
33;Огородников Сергей Сергеевич;169.0;13;28;27;19;20;18;17;19;8
34;Останков Андрей Дмитриевич;36.0;2;4;3;8;2;3;4;7;3
35;Подольская Ольга Вячеславовна;704.0;76;79;80;57;135;87;53;62;75
36;Помозова Тамара Петровна;159.0;14;16;15;18;18;17;15;29;17
37;Попов Сергей Романович;132.0;15;8;8;13;14;22;25;15;12
38;Пшеничников Сергей Константинович;722.0;95;71;82;76;67;98;51;107;75
39;Редько Анна Леонидовна;50.0;3;5;6;3;8;5;6;10;4
40;Степанов Юрий Николаевич;220.0;22;35;26;18;27;21;24;29;18
41;Стерлигов Андрей Владимирович;200.0;15;53;29;16;24;18;19;22;4
42;Тепеницына Татьяна Андреевна;520.0;58;55;53;49;60;57;51;78;59
43;Федосеева Александра Викторовна;59.0;18;6;5;11;3;5;6;3;2
44;Хаджиев Булат Саламбекович;56.0;5;6;13;11;6;4;2;5;4
45;Чунарев Валерий Иванович;97.0;8;16;12;9;11;8;12;16;5
46;Шевченко Вячеслав Андреевич;55.0;6;7;8;7;7;4;2;11;3
47;Яковлев Павел Александрович;22.0;0;5;4;3;1;2;2;2;3
