;name;overall;УИК №2905;УИК №2906;УИК №2907;УИК №2908;УИК №2909
14;Андриевская Светлана Евгеньевна;322.0;53;93;91;64;21
15;Бескоровайный Алексей Викторович;941.0;242;134;200;269;96
16;Бильданова Лариса Валерьевна;863.0;215;108;176;259;105
17;Бояджан Григорий Григорьевич;185.0;34;24;15;68;44
18;Бражко Александр Анатольевич;201.0;57;44;34;52;14
19;Васина Юлия Викторовна;71.0;12;8;19;20;12
20;Дедков Олег Валерьевич;116.0;28;27;25;28;8
21;Зильберт Давид Борисович;107.0;23;16;21;37;10
22;Кабанец Анатолий Владимирович;663.0;161;193;144;123;42
23;Каланча Иван Петрович;25.0;5;2;6;9;3
24;Колесников Константин Михайлович;111.0;18;27;25;32;9
25;Курашев Кирилл Константинович;111.0;21;24;23;35;8
26;Лазутин Евгений Евгеньевич;147.0;48;19;38;33;9
27;Литвина Наталья Арвидовна;80.0;14;16;22;20;8
28;Мамонов Алексей Дмитриевич;95.0;27;20;25;19;4
29;Медведева Галина Васильевна;623.0;147;156;142;130;48
30;Милащенко Евгений Георгиевич;293.0;43;48;130;56;16
31;Митяев Александр Константинович;43.0;7;7;7;15;7
32;Николаева Александра Игоревна;128.0;20;26;41;28;13
33;Осадчий Николай Витальевич;39.0;7;8;13;8;3
34;Осипов Георгий Вячеславович;61.0;18;12;12;15;4
35;Плахов Роман Вячеславович;743.0;176;111;169;206;81
36;Прохоров Евгений Юрьевич;481.0;120;138;80;107;36
37;Романюк Егор Юрьевич;312.0;111;76;44;71;10
38;Сазонов Виталий Николаевич;538.0;140;152;90;111;45
39;Светиков Илья Анатольевич;1066.0;245;188;229;301;103
40;Сорокин Евгений Георгиевич;238.0;88;55;29;57;9
41;Сыров Виктор Михайлович;277.0;103;63;29;70;12
42;Федоров Александр Вячеславович;472.0;141;112;85;96;38
43;Федотов Виталий Сергеевич;813.0;202;124;161;247;79
44;Фетисов Александр Вячеславович;75.0;21;17;18;12;7
45;Швеев Виталий Николаевич;258.0;92;60;36;58;12
46;Якшин Николай Александрович;98.0;12;19;29;28;10
