;name;overall;УИК №120;УИК №121;УИК №122;УИК №123;УИК №124;УИК №132;УИК №133;УИК №134;УИК №135;УИК №136
14;Аперян Карен Манвелович;1164.0;65;62;137;153;94;160;184;163;81;65
15;Бережной Антон Владимирович;786.0;103;101;86;58;83;54;83;87;80;51
16;Бондарева Светлана Николаевна;1546.0;121;97;157;192;125;215;233;204;110;92
17;Борисов Владимир Геннадьевич;718.0;102;54;86;113;56;62;59;99;50;37
18;Викторова Татьяна Викторовна;1153.0;84;76;117;132;91;182;177;144;80;70
19;Ганцов Камиль Шамилевич;420.0;68;39;59;38;34;42;34;43;34;29
20;Гришанова Анна Вячеславовна;810.0;114;99;88;61;82;72;81;86;76;51
21;Губин Иван Юрьевич;219.0;29;19;29;24;20;17;27;29;14;11
22;Дмитриева Ирина Николаевна;1371.0;107;101;151;153;108;188;207;172;88;96
23;Емельянова Анастасия Сергеевна;653.0;104;47;77;112;48;45;49;93;47;31
24;Захарченко Елена Анатольевна;476.0;65;33;46;51;37;57;45;67;40;35
25;Казакова Марина Александровна;147.0;20;13;21;14;17;17;6;18;15;6
26;Кожеуров Иван Сергеевич;108.0;11;8;11;10;13;6;13;12;20;4
27;Красовский Сергей Петрович;649.0;102;51;85;110;53;49;46;86;40;27
28;Кремлева Мария Валерьевна;626.0;111;42;74;102;56;43;40;86;45;27
29;Лебедев Борис Николаевич;694.0;83;56;78;85;71;74;59;98;52;38
30;Молокоедов Игорь Владимирович;1181.0;75;69;128;129;92;175;188;169;87;69
31;Набатян Левон Борисович;590.0;89;29;65;110;39;42;40;123;29;24
32;Никишин Станислав Михайлович;90.0;16;6;6;7;12;10;10;11;8;4
33;Нилов Михаил Витальевич;125.0;13;17;17;10;13;15;13;10;10;7
34;Нинуа Нодари Григорьевич;780.0;116;92;81;58;72;62;95;73;77;54
35;Образцов Артем Александрович;842.0;133;103;98;62;78;64;90;74;75;65
36;Сёмин Василий Борисович;119.0;8;15;18;14;12;13;7;15;9;8
37;Сивцова Ирина Юрьевна;595.0;76;61;58;93;53;55;61;72;33;33
38;Федина Екатерина Юрьевна;272.0;33;31;32;30;29;30;18;33;11;25
39;Филиппов Сергей Викторович;868.0;133;109;97;70;84;68;84;81;80;62
40;Черный Григорий Лукич;487.0;66;49;57;58;45;66;34;44;35;33
