;name;overall;УИК №268;УИК №270;УИК №271;УИК №272;УИК №273;УИК №274;УИК №275;УИК №276;УИК №277;УИК №278;УИК №279;УИК №280
14;Алексанян Оганес Вардгесович;107.0;5;8;15;8;3;12;13;6;7;8;12;10
15;Баканас Елена Сергеевна;822.0;43;92;117;82;52;72;63;67;47;51;56;80
16;Баскакова Наталья Анатольевна;1415.0;103;154;100;74;88;109;129;143;134;122;129;130
17;Бебко Вадим Владиславович;742.0;30;65;105;74;51;67;46;47;42;43;45;127
18;Боброва Анастасия Андреевна;239.0;19;22;19;13;12;21;20;19;25;26;21;22
19;Волков Николай Васильевич;443.0;36;43;58;34;32;35;43;28;32;30;27;45
20;Гаязова Оксана Николаевна;1195.0;94;158;70;62;82;90;108;126;97;97;102;109
21;Герасимова Ирина Николаевна;339.0;31;54;34;29;26;31;33;16;15;22;23;25
22;Долбешкин Константин Павлович;159.0;24;17;15;10;7;6;15;17;12;10;13;13
23;Ерохин Николай Викторович;185.0;16;25;16;15;14;12;12;8;17;14;20;16
24;Жигулин Михаил Иванович;300.0;24;42;30;15;21;22;33;22;19;15;19;38
25;Звягинцев Петр Семенович;1000.0;47;86;138;125;76;113;78;69;38;64;60;106
26;Иванов Николай Михайлович;244.0;19;35;18;20;23;16;28;13;22;12;13;25
27;Иванова Александра Владимировна;283.0;24;27;30;15;18;24;31;21;18;21;27;27
28;Кузенкин Александр Валентинович;296.0;18;36;36;26;21;19;23;19;24;17;34;23
29;Кузьмин Владимир Николаевич;779.0;39;115;122;93;52;68;70;48;26;38;40;68
30;Лебедев Владислав Игоревич;457.0;50;40;49;42;23;44;36;40;19;36;39;39
31;Литвинов Андрей Александрович;336.0;24;27;38;34;25;33;31;28;21;21;35;19
32;Мазуров Дмитрий Александрович;193.0;25;22;17;14;10;16;20;16;12;14;18;9
33;Маслов Андрей Анатольевич;593.0;35;85;113;70;41;50;37;39;23;20;35;45
34;Морозов Олег Андреевич;1244.0;88;133;86;78;86;88;120;132;111;100;108;114
35;Мясоедов Алексей Иванович;202.0;18;27;24;15;12;17;16;7;21;13;9;23
36;Неймарк Владислав Александрович;348.0;37;33;41;34;13;30;27;29;19;27;26;32
37;Пархоменко Михаил Генрихович;317.0;27;23;30;29;19;32;35;22;27;18;31;24
38;Пахоменко Михаил Александрович;472.0;50;42;59;44;16;39;27;39;25;31;42;58
39;Петухова Наталья Александровна;246.0;21;30;18;17;12;15;30;15;19;16;23;30
40;Ронжина Галина Григорьевна;204.0;22;20;18;12;18;10;19;18;12;18;20;17
41;Соловьев Виктор Сергеевич;85.0;8;6;9;8;6;9;9;10;9;6;1;4
42;Сулемов Валерий Юрьевич;1062.0;81;120;68;58;73;70;78;120;93;84;85;132
43;Тарасенко Виталий Николаевич;331.0;32;26;34;20;30;14;29;25;40;21;21;39
44;Филитов Егор Владимирович;1282.0;94;133;81;87;86;92;104;135;115;103;127;125
