;name;overall;УИК №1790;УИК №1791;УИК №1792;УИК №1793;УИК №1794;УИК №1795;УИК №1796;УИК №1797;УИК №1798;УИК №1799;УИК №1800
14;Абдуллин Тимур Саярович;118.0;9;21;10;7;10;19;16;4;10;10;2
15;Абызова Алла Владимировна;158.0;11;23;19;13;5;18;25;12;18;8;6
16;Арапова Елена Юрьевна;321.0;34;45;24;18;9;38;41;27;28;33;24
17;Балекина Любовь Петровна;1559.0;99;148;104;117;251;163;209;134;96;92;146
18;Богданович-Плескачевский Артемий Михайлович;222.0;22;28;14;15;9;29;32;21;21;27;4
19;Василевский Сергей Глебович;414.0;33;42;36;29;22;51;61;40;38;48;14
20;Воропаева Алла Викторовна;1752.0;119;171;107;200;232;185;199;156;121;90;172
21;Егорова Елена Александровна;1565.0;116;164;106;131;221;169;188;134;107;84;145
22;Карташов Антон Андреевич;246.0;19;31;26;6;16;34;32;5;30;28;19
23;Квасников Дмитрий Александрович;419.0;17;48;29;20;46;80;51;32;40;39;17
24;Несветова Людмила Александровна;1765.0;115;187;134;137;212;197;275;136;115;94;163
25;Парамонов Андрей Викторович;125.0;10;18;17;11;10;1;16;12;12;10;8
26;Пименова Мария Николаевна;116.0;9;14;14;5;7;12;16;10;10;3;16
27;Самороков Денис Валерьевич;201.0;18;33;15;4;1;31;28;20;24;24;3
28;Семенов Алексей Владимирович;387.0;26;61;33;13;1;54;62;19;42;39;37
29;Сорокина Дарья Николаевна;215.0;11;25;22;14;4;33;36;14;22;24;10
30;Степанов Евгений Сергеевич;251.0;18;23;16;21;4;22;33;27;28;23;36
31;Таипов Марат Азатович;134.0;18;16;6;15;4;16;20;13;8;16;2
32;Титов Владимир Юрьевич;148.0;5;15;19;11;7;11;17;16;12;10;25
33;Тиханова Альбина Викторовна;1490.0;111;152;80;116;253;134;173;145;99;76;151
34;Тома Илья Александрович;589.0;22;61;45;57;66;90;75;53;61;45;14
35;Чарная Дарья Сергеевна;475.0;17;51;36;45;56;79;65;35;40;46;5
