;name;overall;УИК №644;УИК №645;УИК №646;УИК №647
14;Байкиев Тимур Ильмирович;72.0;27;7;25;13
15;Баранов Сергей Владимирович;179.0;32;72;40;35
16;Батурина Ольга Михайловна;68.0;16;11;23;18
17;Бисембаев Марат Хамзеевич;100.0;23;33;16;28
18;Велесевич Сергей Сергеевич;388.0;94;127;103;64
19;Ветров Юрий Владимирович;222.0;30;94;55;43
20;Графов Дмитрий Борисович;359.0;117;84;88;70
21;Журавлев Алексей Владимирович;103.0;32;24;25;22
22;Зайцев Виктор Викторович;206.0;67;37;64;38
23;Закирова Татьяна Михайловна;641.0;187;108;168;178
24;Затолочный Денис Владимирович;88.0;30;11;30;17
25;Качелина Валентина Ивановна;207.0;70;38;66;33
26;Колосов Константин Евгеньевич;277.0;65;91;67;54
27;Корягина Наталья Викторовна;791.0;237;153;187;214
28;Костин Иван Александрович;308.0;78;86;72;72
29;Кукушкина Валерия Андреевна;88.0;23;20;27;18
30;Курняева Марина Витальевна;719.0;205;128;193;193
31;Мещеринов Григорий Алексеевич;120.0;17;40;30;33
32;Нарышкин Кирилл Константинович;291.0;74;79;64;74
33;Немцова Мария Михайловна;381.0;92;109;115;65
34;Никитин Игорь Всеволодович;588.0;198;92;129;169
35;Нуждин Александр Вячеславович;144.0;29;45;35;35
36;Паршонок Никита Александрович;25.0;7;3;11;4
37;Полевов Станислав Владимирович;48.0;13;7;17;11
38;Прохода Александр Иванович;277.0;73;64;89;51
39;Русова Наталья Николаевна;292.0;62;41;158;31
40;Терехов Сергей Игоревич;95.0;13;28;37;17
41;Томилин Дмитрий Валентинович;534.0;159;90;134;151
42;Хидашели Сергей Ильич;110.0;29;26;38;17
43;Хубиева Мария Кемаловна;251.0;47;32;150;22
