;name;overall;УИК №2440;УИК №2455;УИК №2456;УИК №2458;УИК №2459;УИК №2460;УИК №2461;УИК №2462;УИК №2463;УИК №2464;УИК №2465;УИК №2466;УИК №2467;УИК №2468;УИК №2469;УИК №2470;УИК №2471;УИК №2472;УИК №2473;УИК №3422
14;Аникина Татьяна Ивановна;1904.0;107;92;115;119;68;92;110;63;66;90;100;80;112;124;152;110;108;94;74;28
15;Аскреткин Александр Владимирович;602.0;18;20;12;61;50;75;86;12;14;40;13;17;30;32;41;13;22;12;26;8
16;Воробьев Владислав Владимирович;365.0;27;18;19;12;24;21;19;16;10;22;12;25;18;25;20;13;29;11;17;7
17;Головчанский Илья Александрович;291.0;14;17;16;14;22;15;15;12;24;16;15;16;14;11;12;9;17;8;18;6
18;Голубцов Павел Викторович;1525.0;85;70;82;95;66;74;104;63;50;83;97;83;82;91;100;83;70;71;51;25
19;Грозинская Лейля Энваровна;335.0;28;13;20;11;12;16;22;12;12;11;15;16;16;28;15;19;21;11;29;8
20;Ершов Сергей Васильевич;277.0;23;16;9;13;13;22;16;6;15;11;12;14;25;20;18;7;9;10;15;3
21;Казачишин Владислав Евгеньевич;432.0;33;18;17;24;15;25;33;21;23;20;25;12;24;29;25;18;19;19;23;9
22;Карпов Александр Васильевич;478.0;46;19;29;34;21;25;22;15;22;20;17;21;32;20;24;28;29;21;25;8
23;Леонов Владимир Владимирович;301.0;24;17;16;20;14;20;15;23;14;15;19;6;25;11;10;15;11;10;14;2
24;Монин Евгений Вячеславович;695.0;34;23;28;38;35;46;39;21;38;32;30;38;46;44;31;34;26;33;36;43
25;Морецкий Савелий Андреевич;632.0;36;18;33;38;33;43;38;25;33;16;19;34;38;44;27;32;28;31;31;35
26;Осенняя Елена Викторовна;1724.0;100;103;107;111;54;98;109;49;66;83;106;74;93;100;115;87;82;85;84;18
27;Побегайло Юлия Вадимовна;694.0;42;29;34;37;27;50;33;27;26;22;40;31;48;50;27;35;31;31;36;38
28;Садаев Азамат Мусаевич;253.0;15;9;12;21;10;24;9;11;10;6;10;15;12;13;12;15;9;8;18;14
29;Симонов Александр Васильевич;304.0;20;16;17;18;15;17;20;9;6;24;13;12;18;17;16;16;13;11;19;7
30;Созонов Марк Анатольевич;593.0;38;22;34;31;27;39;25;20;29;19;19;30;36;40;28;32;24;32;31;37
31;Таращанский Леонид Асирович;374.0;22;13;12;17;45;20;56;12;14;15;13;20;17;16;15;10;14;12;25;6
32;Тетюцкая Анна Николаевна;555.0;27;34;29;31;26;31;27;17;28;17;26;17;41;23;38;45;29;31;25;13
33;Тимофеева Ольга Николаевна;1577.0;96;71;92;121;56;82;101;52;47;88;93;71;79;105;102;86;74;75;63;23
34;Юрин Михаил Николаевич;609.0;58;42;49;42;25;33;25;34;35;19;21;16;29;36;31;23;27;21;37;6
35;Юрханян Карен Эрикович;174.0;8;8;9;6;10;6;11;6;11;8;7;8;19;15;9;7;12;3;6;5
