;name;overall;УИК №79;УИК №81;УИК №82;УИК №83;УИК №84;УИК №86
14;Арестов Валерий Николаевич;267.0;62;41;38;43;44;39
15;Богомолова Марина Васильевна;382.0;73;73;55;62;69;50
16;Боженов Дмитрий Валерьевич;62.0;9;9;13;12;10;9
17;Васильев Николай Владимирович;838.0;152;158;126;126;116;160
18;Грехова Татьяна Анатольевна;675.0;131;120;103;112;92;117
19;Денисова Елена Константиновна;527.0;87;73;87;113;85;82
20;Кайер Валерий Викторович;163.0;28;25;33;15;33;29
21;Канурин Алексей Иванович;177.0;27;34;28;29;37;22
22;Караулов Андрей Александрович;139.0;22;27;21;18;23;28
23;Коваленко Виктор Геннадьевич;143.0;19;33;23;29;20;19
24;Кузнецова Елена Николаевна;74.0;14;11;10;12;8;19
25;Лоншаков Михаил Юрьевич;170.0;38;34;30;15;17;36
26;Мельникова Юлия Валентиновна;104.0;12;26;24;13;9;20
27;Мишин Сергей Анатольевич;303.0;69;54;38;52;46;44
28;Невенчанная Ингрида Алгимондовна;111.0;21;24;21;11;15;19
29;Непомнящих Дмитрий Викторович;507.0;86;58;105;116;58;84
30;Оградюк Максим Сидорович;202.0;22;31;58;29;37;25
31;Орбачевская Лия Анатольевна;82.0;12;18;6;11;13;22
32;Петряков Андрей Валерьевич;399.0;69;95;54;51;51;79
33;Постнов Александр Васильевич;105.0;21;25;8;20;15;16
34;Успенская Екатерина Юрьевна;307.0;36;47;81;47;46;50
35;Фомин Михаил Михайлович;156.0;32;32;24;20;19;29
36;Чебурахина Елизавета Георгиевна;394.0;68;49;73;87;63;54
