;name;overall;УИК №1659;УИК №1660;УИК №1661;УИК №1672;УИК №1673;УИК №1674;УИК №1675;УИК №1676;УИК №1677;УИК №1680;УИК №1681;УИК №1682;УИК №1683;УИК №1685
14;Антонова Лариса Петровна;1541.0;79;94;94;126;125;103;128;103;103;102;96;139;91;158
15;Галкина Светлана Юрьевна;296.0;23;18;16;27;13;17;24;23;22;15;17;31;14;36
16;Гринин Юрий Людвигович;296.0;19;14;16;20;11;15;19;25;22;24;23;49;17;22
17;Жданова Наталья Константиновна;260.0;21;8;20;20;8;15;24;19;25;15;20;21;10;34
18;Журов Валерий Васильевич;466.0;20;26;31;31;14;19;26;26;32;36;44;100;22;39
19;Иванова Елена Анатольевна;1179.0;71;81;87;95;94;72;94;82;80;77;67;102;71;106
20;Ильясов Харис Нябиуллович;1175.0;65;85;77;107;103;83;86;69;68;71;68;97;70;126
21;Ильяшенко Александр Викторович;1336.0;88;95;98;118;105;112;100;80;90;84;83;117;69;97
22;Киреева Нина Сергеевна;366.0;15;21;19;38;16;28;21;28;38;22;31;33;16;40
23;Клюкин Андрей Владимирович;471.0;28;27;40;38;14;21;21;32;34;31;44;69;30;42
24;Корнилов Александр Сергеевич;446.0;23;23;25;32;17;23;27;42;33;27;37;72;22;43
25;Левина Елена Николаевна;236.0;7;9;20;22;14;14;20;21;20;15;11;25;10;28
26;Лёвин Михаил Евгеньевич;318.0;16;20;6;27;12;21;34;23;21;23;27;33;16;39
27;Молочко Александр Михайлович;195.0;16;17;11;16;7;11;12;20;17;15;14;18;8;13
28;Панков Владимир Васильевич;412.0;9;13;20;29;13;20;23;22;23;26;75;74;25;40
29;Птицына Ксения Кирилловна;1315.0;78;86;91;108;103;92;105;89;84;82;77;119;79;122
30;Рязанкин Виталий Александрович;222.0;19;15;9;21;9;15;15;10;19;18;17;17;15;23
31;Чаленко Алексей Викторович;170.0;13;12;4;19;8;11;15;12;10;16;13;14;7;16
32;Черных Екатерина Владимировна;368.0;16;23;20;36;20;14;33;21;35;16;26;39;24;45
