;name;overall;УИК №1080;УИК №1081;УИК №1082;УИК №1083;УИК №1084;УИК №1091;УИК №1092
14;Бичева Ольга Николаевна;324.0;71;33;53;46;64;55;2
15;Большинская Ольга Николаевна;249.0;45;38;44;32;46;39;5
16;Боровиков Константин Юрьевич;363.0;69;50;52;67;71;53;1
17;Бушина Людмила Ильинична;313.0;56;37;40;49;68;57;6
18;Власов Олег Викторович;302.0;48;59;36;51;59;48;1
19;Востоков Юрий Александрович;196.0;46;35;28;27;23;32;5
20;Давыдов Дмитрий Иванович;420.0;77;58;60;69;99;56;1
21;Зуйков Николай Николаевич;205.0;29;33;30;42;45;25;1
22;Кустова Татьяна Владимировна;197.0;36;35;31;33;32;26;4
23;Леденева Людмила Степановна;881.0;144;103;125;183;145;97;84
24;Макаров Антон Игоревич;217.0;39;35;30;56;25;29;3
25;Машенских Дмитрий Валерьевич;156.0;21;24;40;31;20;17;3
26;Музякова Людмила Платоновна;680.0;105;75;89;148;107;84;72
27;Находнов Владимир Николаевич;493.0;107;103;91;85;60;44;3
28;Петров Игорь Борисович;780.0;133;100;90;155;134;84;84
29;Раздобаров Николай Дорофеевич;734.0;131;74;93;153;118;88;77
30;Свиридов Алексей Владимирович;289.0;47;34;37;47;60;57;7
31;Смирнов Андрей Анатольевич;201.0;48;43;29;25;23;33;0
32;Трунина Алевтина Александровна;96.0;21;15;18;15;16;9;2
33;Удальцов Николай Александрович;614.0;93;89;76;122;97;56;81
34;Чижикова Галина Федоровна;104.0;23;16;12;17;11;24;1
