;name;overall;УИК №2118;УИК №2139;УИК №2140;УИК №2141;УИК №2142;УИК №2143;УИК №2144;УИК №2145;УИК №2146;УИК №2147
14;Воробьёв Владимир Юрьевич;128.0;5;11;17;13;7;27;8;15;17;8
15;Гильц Елена Александровна;1066.0;36;80;85;113;104;78;95;187;113;175
16;Глушко Станислав Михайлович;128.0;3;44;11;11;13;9;9;12;5;11
17;Гончаревская Зоя Леонидовна;685.0;30;59;83;78;76;72;62;71;100;54
18;Данилов Илья Игоревич;51.0;2;4;9;6;3;5;9;7;3;3
19;Дьяченко Евгений Валерьевич;372.0;8;30;30;36;32;132;21;27;36;20
20;Жукова Наталья Павловна;870.0;12;130;229;106;80;78;73;63;51;48
21;Казаков Владимир Сергеевич;191.0;5;18;14;20;16;19;25;27;31;16
22;Киприянов Петр Эдуардович;348.0;9;32;28;40;36;103;23;18;32;27
23;Клюкина Анна Иосифовна;644.0;29;46;82;74;71;64;63;72;83;60
24;Лапшов Алексей Сергеевич;79.0;1;8;12;9;11;11;6;8;9;4
25;Логвинова Светлана Евгеньевна;525.0;23;49;66;69;55;44;40;59;73;47
26;Медведева Елена Анатольевна;942.0;36;112;162;115;107;135;77;84;49;65
27;Моисеева Валентина Викторовна;629.0;29;54;86;74;64;47;56;68;82;69
28;Романова Елена Валентиновна;248.0;12;25;22;33;31;29;25;29;17;25
29;Рудик Александра Алексеевна;229.0;5;30;21;24;19;21;32;26;32;19
30;Сильнов Алексей Сергеевич;372.0;14;48;30;46;42;64;33;37;28;30
31;Смирнов Левон Леонидович;1591.0;50;108;199;216;169;144;145;204;166;190
32;Сосунова Евгения Игоревна;205.0;9;17;14;26;17;23;19;21;34;25
33;Стусов Антон Александрович;1336.0;51;94;123;146;139;160;127;196;121;179
34;Шефер Маргарита Викторовна;1284.0;33;82;160;179;156;64;111;196;144;159
