;name;overall;УИК №615;УИК №616;УИК №617;УИК №618;УИК №619;УИК №620;УИК №621
14;Акишев Батыр Дюсембаевич;95.0;20;12;7;18;15;11;12
15;Глухов Антон Александрович;1011.0;136;115;146;168;102;206;138
16;Дементьев Александр Викторович;165.0;34;18;29;16;22;34;12
17;Елсаков Константин Александрович;183.0;31;25;33;13;32;28;21
18;Ефимова Елена Александровна;244.0;48;33;43;25;35;40;20
19;Желудков Владимир Николаевич;141.0;21;20;19;14;29;21;17
20;Иванова Татьяна Ивановна;297.0;47;33;44;33;67;46;27
21;Климов Константин Николаевич;262.0;37;36;44;19;56;47;23
22;Колесов Александр Викторович;1128.0;126;110;150;191;206;211;134
23;Красников Станислав Владимирович;168.0;24;17;19;37;24;24;23
24;Краснов Иван Юрьевич;246.0;42;25;49;16;46;36;32
25;Макаренко Алексей Юрьевич;214.0;44;33;32;23;33;33;16
26;Марова Алла Анатольевна;249.0;51;37;39;23;38;42;19
27;Матвеева Инна Петровна;142.0;24;11;18;24;19;28;18
28;Мещеряков Олег Николаевич;279.0;38;32;57;19;54;42;37
29;Моисеева Светлана Ивановна;961.0;115;110;118;153;170;174;121
30;Невский Михаил Александрович;101.0;16;8;6;23;10;24;14
31;Никонов Петр Анатольевич;370.0;61;48;49;28;42;56;86
32;Пак Игорь Николаевич;173.0;35;25;33;18;25;29;8
33;Рыжова Елена Григорьевна;1089.0;116;114;140;178;195;204;142
34;Самохина Лидия Анатольевна;1068.0;100;101;136;196;195;202;138
35;Свиридова Анастасия Игоревна;202.0;52;23;32;22;30;28;15
36;Темнов Георгий Викторович;103.0;14;9;21;8;26;13;12
37;Фадеев Максим Анатольевич;348.0;79;58;62;21;47;45;36
38;Хватов Сергей Владиславович;175.0;26;19;23;32;25;23;27
