;name;overall;УИК №842;УИК №843;УИК №844;УИК №845;УИК №846;УИК №847;УИК №848
14;Аляева Маргарита Николаевна;1007.0;182;113;143;175;140;148;106
15;Анисимов Сергей Андреевич;218.0;104;11;18;16;30;18;21
16;Болотин Владимир Геннадьевич;123.0;11;12;18;20;27;20;15
17;Бриткевич Маргарита Сергеевна;865.0;172;112;155;135;116;98;77
18;Гехт Михаил Владимирович;235.0;9;17;26;33;42;40;68
19;Головлёв Игорь Сергеевич;59.0;8;8;12;9;5;13;4
20;Гречушкин Михаил Владимирович;98.0;6;10;13;15;12;14;28
21;Друмова Марина Викторовна;131.0;16;22;11;21;21;19;21
22;Егорова Антонина Сергеевна;919.0;204;106;127;137;122;121;102
23;Зайченко Андрей Евгеньевич;132.0;12;11;17;21;19;23;29
24;Иваничкин Сергей Валериевич;188.0;25;22;28;19;35;31;28
25;Ланге Анастасия Александровна;168.0;14;29;29;24;22;24;26
26;Лысикова Светлана Владимировна;91.0;14;7;15;6;22;11;16
27;Мазаева Елена Евгеньевна;98.0;10;9;15;15;20;22;7
28;Мартынов Даниил Владимирович;162.0;23;16;29;16;23;31;24
29;Маслов Виталий Вячеславович;682.0;138;81;83;115;92;90;83
30;Морозова Елена Владимировна;119.0;13;16;28;19;14;16;13
31;Никулина Марина Сергеевна;36.0;1;8;4;10;7;4;2
32;Обидина Зоя Александровна;199.0;21;26;29;28;32;35;28
33;Остащенко Илья Александрович;481.0;109;61;76;58;66;59;52
34;Рахматулин Ильдус Оглямович;137.0;19;18;19;28;30;15;8
35;Рубина Евгения Витальевна;166.0;20;17;32;26;19;30;22
36;Савицкая Светлана Анатольевна;515.0;53;47;125;75;66;81;68
37;Санталов Александр Юрьевич;48.0;5;5;11;6;6;3;12
38;Стадничук Юлия Владимировна;259.0;42;25;72;33;38;28;21
39;Ходанов Сергей Дмитриевич;104.0;17;10;14;16;17;19;11
40;Чайковский Александр Андреевич;221.0;34;27;53;24;26;37;20
41;Яковлев Александр Валентинович;116.0;16;19;16;16;14;22;13
