;name;overall;УИК №1554;УИК №1555;УИК №1556;УИК №1557;УИК №1558;УИК №1559;УИК №1566;УИК №1567;УИК №1568
14;Абрамова Алиса Александровна;266.0;39;31;29;21;51;21;19;29;26
15;Билялов Рустам Федорович;628.0;68;106;64;59;98;54;32;72;75
16;Боголепова Галина Алексеевна;283.0;33;36;23;28;44;28;25;29;37
17;Бугримов Андрей Евгеньевич;214.0;38;20;17;16;29;15;13;37;29
18;Виноградов Александр Сергеевич;568.0;78;79;59;62;83;54;35;60;58
19;Воротилов Виктор Николаевич;848.0;99;124;84;107;113;84;53;88;96
20;Гетманов Андрей Владимирович;74.0;9;4;7;7;10;5;14;8;10
21;Давидович Игорь Феликсович;853.0;97;105;76;90;140;89;60;102;94
22;Демишев Артем Сергеевич;186.0;23;14;14;25;18;16;17;33;26
23;Егоров Антон Олегович;233.0;16;33;26;24;22;19;20;27;46
24;Живцова Юлия Максимовна;610.0;95;80;62;79;92;51;35;62;54
25;Журавлёв Александр Николаевич;410.0;34;45;37;38;60;43;29;53;71
26;Индык Екатерина Владимировна;575.0;79;68;51;56;88;53;39;75;66
27;Курбатова Ирина Владимировна;1023.0;110;133;113;110;155;98;79;106;119
28;Макарова Елизавета Петровна;412.0;48;39;44;38;71;47;30;62;33
29;Макеев Иван Владимирович;450.0;83;43;51;49;63;44;30;46;41
30;Матвеева Александра Викторовна;1222.0;158;181;140;114;190;102;71;135;131
31;Мирошниченко Оксана Петровна;856.0;100;126;112;129;109;76;50;82;72
32;Мурзин Игорь Алексеевич;253.0;27;30;18;23;39;23;19;40;34
33;Овчаренко Евгений Сергеевич;698.0;94;94;68;84;110;78;38;65;67
34;Садеков Рафаиль Абдулханянович;294.0;25;14;23;25;22;23;38;93;31
35;Шипилов Сергей Александрович;272.0;36;37;28;36;38;19;13;33;32
36;Щербакова Вероника Сергеевна;181.0;26;29;18;14;24;17;11;25;17
