;name;overall;УИК №815;УИК №816;УИК №817;УИК №818;УИК №819;УИК №820;УИК №821;УИК №822;УИК №823;УИК №824
14;Абдюханова Рамиля Касаяновна;290.0;32;20;25;19;32;21;29;21;56;35
15;Ануфриева Елена Сергеевна;546.0;82;47;40;32;65;33;51;40;85;71
16;Белых Анна Ивановна;300.0;34;20;24;14;42;35;36;25;27;43
17;Блинкова Иоланта Викторовна;1333.0;120;110;93;94;148;163;261;143;86;115
18;Дегтярева Ирина Павловна;1219.0;140;131;84;96;132;130;200;101;94;111
19;Дьякова Элеонора Николаевна;1321.0;136;121;89;99;152;147;240;118;96;123
20;Ефимова Любовь Ивановна;450.0;81;49;33;34;50;40;51;24;42;46
21;Зубарев Сергей Олегович;190.0;18;13;14;11;27;26;17;16;16;32
22;Каджаев Инал Сергеевич;761.0;73;81;41;76;73;88;144;69;48;68
23;Касьянова Татьяна Ивановна;205.0;19;12;13;12;20;20;26;15;37;31
24;Коновалов Александр Трофимович;391.0;54;44;24;29;53;35;42;28;46;36
25;Красков Дмитрий Леонидович;355.0;40;55;35;21;43;33;37;25;29;37
26;Кулешов Виктор Петрович;1297.0;125;131;107;102;160;137;210;123;98;104
27;Милованов Алексей Юрьевич;597.0;68;41;37;28;67;63;86;92;69;46
28;Паклацкая Оксана Юрьевна;385.0;30;32;18;20;19;21;31;16;152;46
29;Пачулия Ираклий Гиаевич;556.0;115;44;58;23;46;48;60;40;55;67
30;Саленко Сергей Александрович;644.0;69;51;81;41;47;58;57;45;119;76
31;Скворцов Олег Владимирович;425.0;65;36;30;31;46;41;41;37;46;52
32;Степкин Евгений Валериевич;314.0;36;38;28;16;33;23;39;30;35;36
33;Тельманова Ксения Михайловна;576.0;69;54;36;38;62;60;52;42;84;79
34;Тимошенков Олег Анатольевич;291.0;36;31;20;24;23;29;31;25;36;36
35;Фокина Татьяна Михайловна;312.0;36;36;22;13;45;30;47;17;28;38
36;Хасметдинов Дамир Мясумович;130.0;21;12;8;10;14;12;15;12;12;14
37;Чупраков Руслан Азамович;133.0;26;12;6;9;10;9;15;13;14;19
