;name;overall;УИК №833;УИК №834;УИК №835;УИК №836;УИК №837;УИК №838;УИК №839;УИК №840;УИК №841
14;Бубнов Павел Антонович;181.0;10;24;15;44;24;5;7;20;32
15;Васильева Елена Игоревна;1092.0;87;108;162;166;118;25;100;166;160
16;Егин Александр Анатольевич;834.0;68;74;130;128;87;23;82;125;117
17;Еналеев Константин Русланович;171.0;15;17;31;19;29;3;15;16;26
18;Каюков Борис Леонидович;908.0;67;79;135;128;83;21;82;161;152
19;Мацура Сергей Евгеньевич;186.0;8;26;23;72;26;1;4;17;9
20;Молодкин Валерий Викторович;352.0;29;49;42;57;45;4;20;40;66
21;Олифир Александр Валерьевич;168.0;6;23;34;17;15;0;14;28;31
22;Олифир Сергей Валерьевич;223.0;9;24;40;28;21;2;21;34;44
23;Осауленко Сергей Николаевич;70.0;5;5;9;14;16;0;3;10;8
24;Синёв Василий Владимирович;338.0;36;53;43;51;40;6;24;35;50
25;Синяков Валерий Вячеславович;425.0;41;71;61;92;51;5;22;30;52
26;Степанова Евгения Александровна;464.0;38;28;29;59;42;3;64;125;76
27;Фетисов Дмитрий Иванович;175.0;12;26;20;34;20;2;18;15;28
28;Фурс Алексей Александрович;197.0;15;33;30;27;29;5;12;17;29
29;Хубецова Алина Сослановна;199.0;16;42;28;33;16;4;15;24;21
30;Юрова Алла Геннадьевна;1195.0;109;120;174;237;168;25;88;133;141
31;Юрченков Сергей Михайлович;256.0;25;38;32;29;28;3;24;30;47
