;name;overall;УИК №1210;УИК №1211;УИК №1212;УИК №1213;УИК №1214;УИК №1215;УИК №1216;УИК №1217;УИК №1218
14;Алиев Мариф Ариф оглы;111.0;11;16;23;8;13;16;5;16;3
15;Бекасов Александр Валентинович;828.0;99;73;99;90;68;121;94;80;104
16;Белый Олег Иванович;181.0;28;13;22;20;18;28;16;20;16
17;Веселков Валентин Игоревич;503.0;50;30;65;47;43;84;60;54;70
18;Вишницкий Сергей Сергеевич;124.0;26;10;8;11;12;18;11;16;12
19;Глухов Олег Евгеньевич;563.0;52;53;66;61;41;102;59;58;71
20;Дятлов Леонид Юрьевич;175.0;20;17;17;21;23;23;13;27;14
21;Карлов Денис Александрович;791.0;89;68;94;82;58;131;82;78;109
22;Козлов Виктор Владимирович;234.0;21;30;25;24;21;34;21;26;32
23;Корнеев Никита Викторович;188.0;13;30;18;18;13;32;16;25;23
24;Марфин Андрей Вячеславович;831.0;95;84;104;96;69;113;81;83;106
25;Михопулос Юлия Антонисовна;205.0;22;30;25;24;18;26;19;23;18
26;Огородников Алексей Михайлович;116.0;12;6;11;12;8;15;10;5;37
27;Олейников Александр Алексеевич;271.0;24;27;29;40;35;18;24;21;53
28;Пименов Вячеслав Владимирович;120.0;10;22;13;8;14;12;17;10;14
29;Пронин Виктор Климович;286.0;43;19;41;31;18;46;20;30;38
30;Пронин Илья Викторович;304.0;47;20;32;34;26;46;21;38;40
31;Романцова Оксана Тимофеевна;111.0;17;9;7;12;13;12;13;16;12
32;Сергеев Александр Иванович;792.0;92;70;95;84;69;120;81;79;102
33;Слободина Ольга Юрьевна;134.0;10;10;17;10;14;21;12;16;24
34;Соловьев Алексей Игоревич;552.0;40;54;69;53;49;71;79;69;68
35;Сопелев Сергей Васильевич;83.0;14;8;7;12;7;9;6;14;6
36;Шабаев Дмитрий Александрович;194.0;22;33;17;22;15;20;24;21;20
37;Швец Наталья Витальевна;226.0;42;23;15;21;21;21;23;37;23
38;Щегольков Михаил Александрович;535.0;55;36;70;51;49;85;52;72;65
39;Юликов Владимир Михайлович;283.0;35;25;32;30;16;50;16;31;48
