;name;overall;УИК №212;УИК №213;УИК №214;УИК №215;УИК №216;УИК №217
14;Адамов Павел Анатольевич;603.0;42;117;179;86;79;100
15;Андрианова Зоя Алексеевна;651.0;59;99;72;142;143;136
16;Белопольская Алла Алексеевна;109.0;6;14;19;23;21;26
17;Блистанова Марина Борисовна;80.0;6;14;13;13;15;19
18;Бобков Андрей Евгеньевич;252.0;45;49;24;27;34;73
19;Брусенцев Александр Дмитриевич;447.0;29;77;53;96;91;101
20;Буржуев Анарбек Русланович;52.0;3;11;9;11;6;12
21;Горбачева Марина Саввовна;105.0;7;19;13;30;18;18
22;Горохова Ольга Сергеевна;169.0;16;22;17;37;33;44
23;Громов Иван Александрович;620.0;42;120;155;101;89;113
24;Демина Екатерина Владимировна;150.0;5;18;6;22;17;82
25;Ефимова Ольга Валерьевна;504.0;30;105;132;82;71;84
26;Зайцев Александр Александрович;63.0;3;13;10;15;15;7
27;Курасов Виктор Владимирович;351.0;53;55;36;65;61;81
28;Лапина Ольга Васильевна;262.0;23;49;30;57;47;56
29;Лозицкая Оксана Николаевна;204.0;49;39;22;26;19;49
30;Михайлов Федор Михайлович;557.0;49;86;83;120;102;117
31;Наумова Татьяна Александровна;470.0;41;92;121;60;64;92
32;Небоженко Роман Александрович;566.0;47;92;76;121;115;115
33;Нурмахаметов Вадим Русланович;28.0;0;5;7;0;6;10
34;Павловский Александр Евгеньевич;48.0;4;9;6;7;12;10
35;Потапов Борис Владимирович;145.0;10;24;20;32;28;31
36;Протасова Олеся Анатольевна;76.0;8;12;9;10;25;12
37;Савина Валентина Михайловна;513.0;31;104;126;71;64;117
38;Самарин Владимир Владимирович;201.0;46;39;26;32;28;30
39;Скворцова Лариса Павловна;72.0;3;14;6;11;13;25
40;Субботин Николай Евгеньевич;78.0;3;7;4;10;17;37
41;Тарасов Артём Александрович;500.0;39;79;69;109;104;100
42;Тобашов Алексей Николаевич;156.0;29;32;21;23;15;36
43;Фирсов Виктор Петрович;103.0;9;13;13;18;21;29
44;Шарипко Андрей Васильевич;159.0;21;25;14;34;28;37
45;Юнусова Юлия Александровна;58.0;3;13;8;9;12;13
