;name;overall;УИК №2832;УИК №2833;УИК №2834;УИК №2835;УИК №2836;УИК №2837;УИК №2838;УИК №2839;УИК №2840;УИК №2841;УИК №2842;УИК №2843;УИК №2844;УИК №2845;УИК №2846;УИК №2847;УИК №2848
14;Артамонова Зинаида Васильевна;266.0;24;5;16;25;16;16;11;22;19;10;9;21;14;14;15;8;21
15;Бондарев Сергей Викторович;164.0;5;6;20;13;19;12;12;13;12;5;5;8;7;9;4;4;10
16;Борзова Екатерина Сергеевна;889.0;78;50;52;76;48;47;36;60;72;40;67;32;43;47;46;33;62
17;Гагарин Александр Николаевич;2339.0;187;96;92;192;136;162;129;233;230;141;139;94;95;74;120;82;137
18;Гарначук Владимир Федорович;1120.0;51;56;56;68;61;44;32;90;69;60;73;31;61;72;114;45;137
19;Глек Игорь Владимирович;1520.0;130;73;85;136;103;108;75;131;134;71;68;65;78;46;76;63;78
20;Груздева Александра Николаевна;1417.0;99;66;54;131;89;78;82;152;147;94;92;61;48;41;65;46;72
21;Досекина Оксана Даниловна;159.0;17;3;12;8;14;6;7;17;9;8;6;7;8;9;7;5;16
22;Ефимович Александр Михайлович;115.0;9;4;9;12;7;9;6;6;14;6;6;9;3;6;3;2;4
23;Измайлов Сергей Юрьевич;717.0;52;36;40;52;52;43;34;53;63;35;43;29;32;37;37;29;50
24;Каландаров Камилжан Хамутович;93.0;6;1;5;7;10;10;1;9;7;4;5;4;1;8;4;3;8
25;Колоколов Андрей Сергеевич;421.0;33;22;31;29;28;18;15;37;44;21;31;16;23;24;24;12;13
26;Коршунов Алексей Владимирович;927.0;102;48;43;79;77;97;52;62;62;38;42;44;40;40;32;19;50
27;Коткин Кирилл Леопольдович;1376.0;71;65;69;101;78;84;70;160;126;75;89;71;64;45;77;52;79
28;Ксенофонтова Ольга Павловна;1528.0;122;94;81;111;96;126;89;127;127;66;71;62;74;49;77;66;90
29;Лескова Ирина Анатольевна;579.0;34;27;30;33;29;30;17;70;37;21;31;25;44;42;36;32;41
30;Майоров Максим Александрович;427.0;35;27;20;39;25;25;21;29;48;23;16;22;16;16;17;14;34
31;Матвеев Виталий Юрьевич;460.0;29;17;22;40;30;37;24;37;34;19;12;20;33;40;25;12;29
32;Матвеев Сергей Иванович;320.0;21;12;20;28;17;23;13;19;37;18;11;26;15;12;12;10;26
33;Николаева Анжелика Владимировна;1400.0;108;195;76;104;90;125;95;94;87;51;60;56;67;49;46;30;67
34;Петров Иван Алексеевич;331.0;18;12;19;21;32;20;20;16;23;21;22;13;22;20;23;12;17
35;Пищальников Александр Сергеевич;1635.0;54;19;61;146;109;119;111;192;160;101;100;69;68;48;93;71;114
36;Расулов Мирзо Максудович;731.0;126;48;39;50;55;76;45;43;39;31;27;29;34;25;21;14;29
37;Селицкий Георгий Михайлович;393.0;14;12;33;42;30;32;22;23;39;15;23;15;16;18;18;11;30
38;Скобеева Виктория Александровна;1232.0;13;38;39;126;80;106;83;120;128;94;94;52;41;33;62;52;71
39;Смуглин Федор Савельевич;1076.0;204;52;48;66;77;94;56;71;47;37;36;39;78;73;27;26;45
40;Суворова Милена Сергеевна;188.0;5;6;13;6;10;18;10;13;25;14;12;15;9;6;6;0;20
41;Тюхтина Галина Валентиновна;447.0;10;11;18;23;13;34;22;30;35;8;21;17;92;34;27;19;33
42;Хабаров Сергей Анатольевич;341.0;4;12;18;36;23;38;12;32;34;21;19;15;15;17;12;10;23
43;Черкашин Денис Васильевич;873.0;93;127;45;56;63;80;50;59;43;36;32;41;38;30;21;18;41
44;Шлег Дмитрий Дмитриевич;307.0;11;6;25;26;24;18;14;29;34;15;21;10;11;18;18;10;17
