;name;overall;УИК №2914;УИК №2915;УИК №2916;УИК №2917;УИК №2918;УИК №2919;УИК №2920;УИК №2921;УИК №2922;УИК №2925;УИК №2930;УИК №2931
14;Ануфриев Алексей Юрьевич;492.0;49;52;3;51;38;32;38;41;51;48;44;45
15;Баландин Николай Львович;1041.0;83;110;28;103;96;85;172;87;86;94;42;55
16;Галимова Накия Миназетдиновна;395.0;52;72;7;42;29;43;29;22;31;29;13;26
17;Грачева Нелли Анатольевна;251.0;13;24;4;21;13;22;21;40;27;25;20;21
18;Емцов Сергей Иванович;300.0;38;39;4;29;30;29;15;22;18;29;25;22
19;Кудашова Марина Юрьевна;160.0;16;22;2;15;12;9;13;14;18;17;8;14
20;Куранов Вячеслав Викторович;1170.0;157;187;15;107;65;68;78;107;104;106;87;89
21;Лазарев Андрей Иванович;282.0;24;33;2;31;22;20;12;18;39;34;28;19
22;Михальченко Галина Федоровна;376.0;33;40;12;40;28;33;56;32;35;32;14;21
23;Орловский Михаил Иосифович;936.0;111;78;25;110;70;94;100;81;78;72;57;60
24;Смирнова Татьяна Владимировна;1311.0;155;191;43;141;94;107;89;118;99;112;76;86
25;Суслова Ирина Викторовна;856.0;88;101;13;79;56;56;62;88;87;94;66;66
26;Уткина Кристина Александровна;206.0;14;19;4;31;18;13;14;18;19;28;10;18
27;Ханзяров Рамис Хамисович;235.0;23;27;2;33;29;14;16;23;22;18;12;16
