;name;overall;УИК №2342;УИК №2343;УИК №2344;УИК №2345;УИК №2346;УИК №2347;УИК №2348;УИК №2349;УИК №2375;УИК №2376;УИК №2377;УИК №2379;УИК №2380;УИК №2382;УИК №2383;УИК №2384;УИК №2385
14;Акопджанов Михаил Владимирович;86.0;5;6;7;2;4;6;1;8;4;9;11;7;1;4;1;0;10
15;Алёшин Игорь Николаевич;366.0;20;25;17;31;16;27;20;25;15;34;25;28;24;40;4;2;13
16;Анкудинов Андрей Львович;423.0;33;27;25;41;30;34;33;20;10;37;17;22;26;34;9;3;22
17;Бопп Александр Гербертович;272.0;11;16;20;13;9;29;68;19;5;10;15;14;5;16;5;0;17
18;Борисова Екатерина Михайловна;1179.0;121;98;102;87;76;97;90;69;59;88;56;72;73;70;6;1;14
19;Геворкян Гаянэ Андреевна;161.0;21;17;14;7;10;12;6;11;13;5;7;9;6;6;8;1;8
20;Громов Михаил Николаевич;1384.0;148;215;148;211;123;152;106;79;16;46;26;29;16;26;24;0;19
21;Гуляев Виталий Владимирович;664.0;54;49;37;46;45;61;42;37;27;66;38;46;42;34;15;1;24
22;Гурова Елена Ивановна;1857.0;83;104;89;86;56;91;88;99;43;96;86;73;56;75;370;129;233
23;Даутова Ирина Викторовна;1908.0;75;102;83;69;52;79;73;80;47;105;121;94;93;119;371;127;218
24;Денискин Сергей Юрьевич;1713.0;75;94;80;85;52;84;66;86;41;79;75;77;52;65;358;129;215
25;Дережова Ирина Эдуардовна;595.0;65;47;37;48;19;48;39;35;15;59;50;27;28;50;11;3;14
26;Догадкин Андрей Витальевич;497.0;41;25;26;34;21;27;20;33;27;52;34;57;41;39;9;2;9
27;Зубов Евгений Юрьевич;1194.0;127;125;88;95;81;97;95;74;55;87;51;68;72;65;7;1;6
28;Каменев Евгений Игоревич;220.0;26;17;17;17;4;23;11;10;6;24;11;11;15;17;10;0;1
29;Курбацкая Кристина Александровна;646.0;51;43;40;111;73;55;41;36;23;49;21;27;30;24;9;2;11
30;Лапшов Алексей Сергеевич;208.0;13;13;18;23;10;29;19;20;6;9;11;11;5;9;3;0;9
31;Матвеенко Сергей Александрович;221.0;15;14;10;11;9;17;18;18;10;18;12;12;12;32;5;0;8
32;Морозова Алла Борисовна;878.0;78;71;56;142;94;79;70;51;21;45;28;36;30;46;8;2;21
33;Огнева Эмма Захаровна;412.0;22;30;17;63;38;41;58;38;7;16;13;15;14;28;6;0;6
34;Пересветова Наталья Михайловна;419.0;37;26;28;38;23;44;30;16;15;38;18;27;19;36;8;2;14
35;Пивоварова Ольга Григорьевна;335.0;24;22;15;8;10;26;11;14;15;54;27;40;19;35;8;0;7
36;Соловьева Виктория Борисовна;452.0;29;23;19;23;13;31;25;28;11;49;48;34;36;70;5;0;8
37;Тарасов Станислав Александрович;264.0;24;19;23;16;15;2;18;18;20;30;16;15;17;22;7;0;2
38;Чернушевич Олег Васильевич;1704.0;65;93;94;75;59;79;70;91;43;80;81;74;48;73;364;126;189
39;Шувалов Александр Игорьевич;1840.0;87;105;104;85;68;110;90;106;44;80;86;70;59;74;347;129;196
40;Шумякина Екатерина Вячеславовна;634.0;50;45;45;93;67;48;34;45;17;52;22;31;23;31;14;3;14
41;Ярославцев Александр Юрьевич;606.0;52;42;44;91;55;47;40;24;18;58;31;27;21;32;9;0;15
