;name;overall;УИК №2403;УИК №2406;УИК №2408;УИК №2409;УИК №2410;УИК №2411;УИК №2412;УИК №2413;УИК №2414;УИК №2415
14;Андреев Павел Александрович;778.0;77;68;60;85;99;87;44;66;86;106
15;Баранова Тамара Федоровна;299.0;47;15;19;36;33;40;26;25;26;32
16;Васильева Инна Николаевна;780.0;71;83;53;101;119;85;71;44;85;68
17;Дудник Дмитрий Дмитриевич;231.0;28;14;10;24;26;27;13;34;22;33
18;Зеленецкая Алла Викторовна;818.0;80;80;51;93;109;96;92;48;88;81
19;Королев Иван Иванович;479.0;64;30;30;42;50;56;47;49;57;54
20;Красильникова Дания Джеаферовна;716.0;58;80;47;89;99;86;77;47;79;54
21;Кузьмин Станислав Евгеньевич;481.0;58;29;26;50;67;59;52;46;52;42
22;Московский Юрий Валерьевич;617.0;52;66;38;70;89;70;65;39;71;57
23;Мохирева Людмила Викентьевна;383.0;54;22;21;40;45;42;40;35;36;48
24;Папушина Ирина Рафитовна;177.0;21;13;14;21;27;20;19;11;17;14
25;Сапронов Сергей Сергеевич;867.0;93;66;57;85;125;81;60;79;91;130
26;Селькова Елена Андреевна;1095.0;103;77;79;103;159;125;101;89;114;145
27;Удин Сергей Анатольевич;568.0;61;45;45;55;89;58;36;48;55;76
