;name;overall;УИК №283;УИК №284;УИК №285;УИК №286;УИК №287;УИК №288;УИК №289;УИК №299
14;Алимова Татьяна Павловна;174.0;31;11;20;18;26;21;23;24
15;Анисимов Алексей Вячеславович;267.0;37;31;40;33;27;29;31;39
16;Антипов Игорь Геннадьевич;126.0;21;15;18;12;12;18;13;17
17;Байтемиров Яраш Ирбайханович;140.0;19;15;13;30;17;17;14;15
18;Васильев Федор Петрович;339.0;48;33;41;38;49;55;43;32
19;Галкин Игорь Александрович;542.0;93;114;45;36;84;53;47;70
20;Дегтярева Елена Александровна;941.0;184;116;106;91;120;130;71;123
21;Добровицкий Юрий Валерьевич;793.0;149;86;88;83;102;114;65;106
22;Есина Ксения Борисовна;170.0;19;25;17;24;28;25;10;22
23;Железняков Павел Николаевич;320.0;39;47;27;40;39;50;45;33
24;Каликина Елена Борисовна;974.0;113;185;116;99;149;104;118;90
25;Карпенко Людмила Александровна;683.0;149;77;66;55;82;104;52;98
26;Козарева Анна Дмитриевна;735.0;73;108;105;82;102;81;101;83
27;Колоколов Данила Григорьевич;285.0;49;41;38;28;40;25;27;37
28;Крылова Светлана Владимировна;892.0;106;170;108;89;136;89;111;83
29;Курохтина Надежда Вячеславовна;263.0;27;42;30;41;45;34;16;28
30;Маликова Ольга Игоревна;583.0;98;144;73;39;66;45;57;61
31;Маркаров Роман Борисович;558.0;80;106;75;55;61;69;52;60
32;Михайлова Галина Валерьевна;821.0;143;91;82;83;105;127;70;120
33;Новиков Виталий Алексеевич;312.0;44;38;35;41;41;43;34;36
34;Пясецкий Леонид Эдуардович;191.0;22;26;27;20;24;29;26;17
35;Сердцев Алексей Александрович;125.0;16;11;13;19;12;39;6;9
36;Скрылева Вера Павловна;164.0;23;20;16;25;21;24;19;16
37;Смирнова Ирина Юрьевна;845.0;166;103;87;65;110;106;65;143
38;Столяров Сергей Николаевич;178.0;20;18;10;12;29;33;35;21
39;Узбеков Максим Игоревич;55.0;6;5;9;8;6;6;7;8
40;Яковлев Александр Александрович;184.0;23;22;25;14;24;25;18;33
41;Ясин Мирослав Иванович;746.0;70;114;118;91;78;90;104;81
